,label,location,tweet_text
67,,"New York, NY",#plannedparenthood #blackgenocide
68,1,United Kingdom,heaven forfend anyone should be out of step with fashionable consensus is joke #freespeech
69,1,,it was almost one giant for #hawaii - i thought liberals #democrats loved #prochoice #icbm
70,,,dear #hawaii - think of #icbm fake warning as giant for state - feel better #icbm #northkorea #prochoice
71,0,"Toronto, Ontario",is form of #murder
72,0,The West is the Best,im #prolife unless #trudeau is going to have baby then im all for
73,,"Alberta, Canada",#trudeau wants for everyone except #muslims
74,,"Ontario, Canada",#scheer accuses #trudeau of 'imposing' #values on with summer #jobs #grants
75,0,"Calgary, Canada",doesn't only kill your baby but it could also kill you be #smart #wise prevent unplanned pregnancies #healthyliving #women
76,0,,she can't relate with you she didn't have an right she's beautiful momwith big fan
77,0,Midwest Murica',dont forget he would have been #antiabortion kills black babies #mlkagainstabortion
78,1,,should be charter right
79,,Canada,pill when you take it #brand #marketing
80,0,,is #population #control
81,,The Dominion of Canada,ah me days of trustworthy journalistic endeavors seem to have slipped away one cold night #womendeservebetter
82,1,,is #womans right get out of #mywomb
83,0,,i think there are lot of #prochoice folks who are wounded by in some way my prayer is that they find healing
84,1,"Colorado Springs, CO",you can't be against and then simultaneously shit on #women who give their child up for adoption #tf
85,0,,will never vote democrat as long as they support and put illegals before americans just for starters
86,,United States,hey destiny morgan thanks for what this
87,1,"Midland, TX",realities of #plannedparenthood
88,0,,#christians could get to pulpit and end if wasn't for excuses offending people are we standing on sand or rock
89,,"New Jersey, USA",fuck johnny chill #loser #grimforthewin
90,0,"Dublin, Ireland.",how many unconceived there must be because mothers died to save one child
91,0,,for #immigration control sounds so much like #eugenics
92,0,"Naples, FL",because is #murder
93,0,"Downers Grove, IL",every child is perfect and has purpose #prolife #wonderfullymade #inspiration #scripture #makeadifference
94,0,"Oklahoma, USA",#annoysmemorethananything people who think isn't murder
95,0,"Cincinnati, OH",i know this sounds insane but there exists survivors of
96,0,www.eileencronin.com,please do more to #include #disabledwomen because #gop is using #disability to argue
97,,,
98,,"Sacramento, CA",new bill allows #ca college students to end their pregnancies on campus how would it work and is it safe
99,0,,record i've never been entirely against st term it's post birth #dilationandextraction #infanticide that bothers me
100,0,"Atlanta, GA",its very hard to take you seriously knowing road to is paved w green
101,1,"Washington, D.C.",california has chance to expand medication access on campuses with #senatebill we proudly support this bill
102,,Ireland,do you think leo varadkar should make his position clear regarding regarding referendum
103,0,"Simi Valley, CA",is always murder war in mommy's body is never necessary or okay to do no good can come from it
104,0,,#parenting decision young girl goes in for no parental notification cant have it both ways #defund pp now
105,1,,loss is loss just because you choose to have an does not mean its not loss #guiltafterabortion #loss
106,1,"Costa Mesa, CA",match #rino gov candidate to their planned parenthood pro score
107,0,"Mississippi, USA",stop repeal #johnsonact
108,0,"Sturgis, KY",#prolife #blacklivesmatter #blacktwitter #tcot that is fing sick absolutely disgusting
109,,,#foxnews will need to pull out or #guncontrol tomorrow to sooth their worshippers
110,,"?????, The Flip Side",lol glad u made it tho
111,1,northern New Jersey,if we can say that wars are sometimes necessary knowing that children die in war how can we say is never necessary
112,1,Down the rabbit hole,any government big enough to dictate women's personal medical care sex life is too big #prochoice
113,0,"Cardiff, Wales",so says no #smacking errant children but ok to crush brains and dismemberment of innocent children
114,1,,hosting today with fascinating talk on current and future role of #nurses in care
115,0,"Downers Grove, IL",god knows your purpose long before womb #prolife #purpose #inspiration #scripture #inspirationalscripture #masterpiece
116,0,"Washington, UK",read story of how i survived #thegreatestdebtortohislove get yor copy from give that #child chance
117,0,"California, USA",is violation of laws of nature and nature's god abortionhurts
118,0,,to ploumen's shedecides should be added often under pressure #abortus
119,0,"IndianTerritory,Oklahoma",so what is position on is she down with continuing to mass murder yet-born american citizens most african american
120,1,Canada,i believe in abort #justintrudeau 's government in
121,0,"Tulsa, OK ",life begins at conception and ends at planned parenthood
122,0,"MidWest, USA",to even agree with is #murder in your heart to god i love you jesus thank you father
123,,London,when it comes to politicians' views on please can we leave culture wars to usa it shouldn't be bar to public service
124,,Earth,pills and establishments things to know #article
125,0,"Fayetteville, NC 🇺🇸",dont get twisted sister kills
126,0,Midwest,if you're #christian that thinks life begins at conception then think of it as fast track to heaven instead of an #atheist
127,0,United Kingdom,how is appointing women who believes is harmful to women glitch #prolife #biasedbbc
128,0,"Wirral, UK",and rights of unborn child do they not enter into your thinking #reshuffle
129,0,,unless of course you're deemed unworthy of being born
130,0,Ossining -- but not Sing Sing,how to make today's #liberals and #progressives change their stance on tell them all babies born henceforth will vote #democrat
131,1,Dublin / Ireland,ff leader michel martin has said that he will vote to remove th amendment from constitution
132,0,,you are correct is #murder
133,1,USA (Under djt/gop Occupation),to bad his parents hadn't practiced safe sex #ohio #wingnut
134,0,United States,#plannedparenthood true motto #nomatterwhat #whywemarch #defundpp #adoption #istandagainstpp
135,0,United States,let us fight with #adoption #adoptionsaveslives abortionhurtswomen
136,0,United States,every is denial of receiving #jesus mother teresa #whywemarch #marchforlife abortionhurtswomen #chooselife
137,,"Illinois, USA",doesn't #kelly know that evolution stops at perfection it's why #trump will never admit to evolving on anything except maybe
138,0,Probably at Church or a Bar,so #lobsters feel pain and we shouldn't boil them alive but is healthcare #prolife #chooselife
139,1,,is murder but murder is natural so i'm chill with it
140,0,USA,political correctness - being replaced in millions by #immigrants killed in millions by - and told to accept it
141,0,"Chilliwack, British Columbia",if youre pro- but wont cook lobsters alive because they feel pain youre stupid #hypocrite
142,,"Pittsburgh, Pa",tomlin thats dumb ass move just like defensive game plan
143,0,,if minor cant drive after pm vote or drink why can an unaccompanied minor get an #defundpp
144,,"Johannesburg, South Africa",safe pills ^^ #^__^^^ # # pills for sale in mbabane swaziland
145,1,"London, England",glued to dil debates on access to this evening #freesafelegal #repealtheth
146,0,Cyberspace,is totally fine though right
147,0,Georgia,is unjust and it is bad policy #lincoln #efl
148,1,Rebel County Cork,water #mauricemccabe #repealtheth #noirinosullivan etcwhatever way wind is blowing eh
149,0,"Afton, VA",yet they still have legal there hmm
150,,Georgia,explaining real threat of coerced speech attempts to compel #prolife pregnancy centers to promote #efl
151,,Georgia,for every clinic in our country there are pregnancy resource centers #efl
152,,,nan
153,0,,why do liberal democrats support killing of human babies #prolife
154,0,,canada taxpayer funded for sex selection #canada #taxfunded #tax #life #baby #pray #whywemarch
155,1,,should we allowed whenever it is requested or should there be restrictions #repealtheth
156,0,,canada taxpayer funded for sex selection #canada #taxfunded #tax #life #baby #pray
157,0,,#goodnews is murder
158,0,,i wonder how much money we could raise to protect living children if we didn't spend it on
159,0,International,hurts mothers fathers families and society so that is #whywemarch #marchforlife #shockwaves
160,1,"London, Manhattan, Madrid",support of activists denying access to is not surprisingas half world wishes trump had been aborted at birth
161,1,NYC,#ironic considering would have been best #option for his #mother
162,0,"Louisiana, USA",pray against powers of darkness not award them pontifical medals of honor #catholic #marchforlife
163,,"Melbourne, Australia",yup imagine how my chocolate schedule has gone in last hours
164,0, Ireland ,hey i've got #choice for you those who promote are either ignorant or malevolent pick one
165,,Leiden University,' presents gravest question about #justice that society can face
166,1,Georgia,observation none of #adoption conversation at #efl has yet touched on very specific connection between adoption and
167,0,"Kaufman, Texas",is to #democrats now as slavery was to them before #republican president published emancipation proclamation
168,0,Georgia,decrying reality that american culture views as disability prevention #efl #marchforlife
169,0,Paradise,pity #advocates do not #abort themselves
170,0,,god bless and protect unborn is murder
171,0,"Whitestone, Queens",why are all industries in low income neighborhoods #educate #wakeup #womendeservebetter
172,1,Sydney Australia,i even think women should have right to use as contraception
173,1,"Durham, England",ok if you really want to end provide free healthcare social security and stop shaming unmarried mothers
174,0,,that should say against
175,1,,marie you mother should have had an abortionobamas too
176,0,,thank you for your stand against
177,0,"Vista, CA",#whywemarch lets keep praying to end
178,1,Minneapolis/St. Paul - For now,i'm genuinely confused by that analogy i don't understand how woman having an could physically harm public
179,0,Vill Janak Jagger Bareily Up ,soceal of evil an ttpswwwnewstrendnewsknow-what-happens-after-abortion
180,,,considering we're all sinners as long as we're against mentality this makes perfect sense
181,,,it is an objective fact that supporters of elective and not supporters of human rights
182,0,"1776 Freedom Lane, America",calls pro-life march an anti-abortion rally despicable how media has been bought out by left #marchforlife
183,0,"Cleveland, Ohio",heres thought experiment replace with slavery and see if- lemme stop you right there
184,1,,i hope these anti-abortion folks at white house ask trump about stormy daniels
185,0,"Arkansas, USA",remember what great ronald reagan said you people that are for have already been born
186,1,Oklahoma,especially with anti-abortion pro-hooker djt
187,0,"Cincinnati, OH",text march to to join your voice in ending #whywemarch #lovesaveslives #marchforlife
188,0,,dems sacrament is
189,1,"Hilton Head Island, SC",fake news - trump cannot do anything about rights
190,,"San Francisco, CA",msnbc am house members told to stay flexible as shutdown nears soon trump addresses anti-abortion event as shutdown nears
191,0,North Carolina,funny how people that are for are alive-president ronald reagan #marchforlife
192,0,Britain,is full screen photograph of atheist morality
193,1,,trump is speaking to pro-life rally so if stormy got pregnant you all really think dotard would have opposed her
194,0,"Spokane, WA",kills babies march for life praying for god to change things
195,0,,is legal but it's inhumane and morally wrong i am happy for anyone who stands for life
196,0,United States of America,trump steps to forefront of anti-abortion movement
197,0,traveler ,they should show this at every clinic
198,1,United States,i am always amused when so called small government conservatives want to impose their views on on me
199,,,i thought it was just about didn't see transgender part
200,0,,it's now criminal for doctors to refuse to protect survivors fetus that has survived and failed an
201,0,With my dog,survivors wtf
202,1,,will never end if you make it illegal you'll just have dead women but you don't care about that
203,1,East Coast,is constitutional right so sick of these quacks
204,0,,#marchforlife #whywemarch #releasethememo dude end freaking demonic baby killing business #plannedparenthood
205,1,"Main Street, USA",i find it astonishing that porn king potus never had lover who needed an
206,0,"Arlen,Texas",bingoyou can't call yourself christian and be pro there is no gray area #prolife
207,0,"Birmingham, UK",over million lives lost through in usa in last years #whywemarch #lovesaveslives
208,1,,i only support because blacks overwhelmingly abort their children compared to white folks
209,0,"The 816 (Kansas City, MO)",we must pray each and every day for end to evil of life must be cherished at all stages
210,1,CBUS Ohio,lol congratulations on your descent into same lines of logic that gave us as baby murder
211,0,,#defundpp it is time to stop funding giant in america not one more cent to moloch hungry for innocent blood #ppkillsbabies
212,0,Pittsburgh,#marchforlife #whywemarch to end not just to defund planned parenthood we need life amendment #solidaritychat
213,,,can we get journalist to ask has ever paid for an
214,1,"Dom Perry, Finland",if all pro-lifers put sincere effort into making need for lesser that would be much more effective
215,0,North Carolina,funny how people that are for are alive-ronald reagan #marchforlife
216,0,USA ,#marchforlife #catholic #prolife pray to stop
217,0,"Greenville, SC",text march ro to commit to ending #whywemarch
218,0,South ,please explain why pope gave an award to an activist
219,1,"State College, PA",so true this myth that women use as casual option must stop
220,0,"St Paul, MN",disempowers women #whywemarch
221,1,,isn't murder even bible understood that fetus isn't worth same as life
222,1,"iPhone: 38.643208,-90.260887",im and i remember when being pro-life generation meant more than anti-abortion
223,0,,#marchforlife #lovesaveslives #whywemarch let scourge of finally come to an end it's time
224,0,,is murder
225,0,United States,#whywemarch #marchforlife is not form of birth control
226,0,,is cool killing baby killers on death row not cool -liberals
227,0,,there is nothing lower than mother who kills her own baby is evil
228,0,"Maryland, USA",harms #women #marchforlife
229,0,,yeah agree his stance on gun control and is pretty terrible
230,,,
231,1,,and rates are at historic lows get hint
232,0,,does kill children new human is created at fertilization regardless of degree of development
233,0,”Wherever whores go.”,how come when it's us it's but when it comes to chickens it's omelette -gc
234,0,,other than rape incest there are no excuses for
235,0,,march for life president trump is anti-abortion
236,0,,is nothing to do with women's rights to portray it as such is dishonest and stupid
237,1,,saw sign at church that said pray to stop this is why people look down on churches lol keep ignorant shit inside jesus
238,,"Boulder, CO",oooof there is lot happening in hhs proposed rule making today and don't believe at all for minute it's limited to just
239,0,,praying for those marching in dc today and for absolute end to #marchforlife #whywemarch #lovesaveslives #ewtn
240,1,"Houston, Texas",thats definitely it will always be needed and ill always be here to help make that access possible
241,,,every day brings us closer to trump paid for an story that we all know is coming
242,0,"Washington, DC",over these past years has claimed lives of over million americans and their loss is grieved #marchforlife #prolifeyouth
243,1,,it's weird that they call out and euthanasia specifically but not trans stuff why
244,1,,yes and hindsight always acknowledges them as atrocities is next
245,0,USA,abortionhomicide is not reproductive right
246,,LA monster for life!! ,why is this man talking about he got minutes on floor
247,1,"Oklahoma, USA",you sound like someone who thinks is just used for birth control how vile
248,0,,today is very special day for all of us yes lifeno c-span where is march for life
249,,"Lafayette, IN USA",he's not really against you know that right he's taking you all for fools
250,0,"Slippery Rock, PA",is profoundly anti-women three quarters of its victims are women half babies all mothers mother teresa
251,0,USA,abortionhomicide
252,,,your chin looks pregnant its too bad you dont believe in
253,0,"Massachusetts, USA",allowing allows killing of kids you arent making sense
254,,🇺🇸From Many; One!,like to know how many times hes used for bc
255,,Israel & USA ,i wonder how many women did trump pay to have an
256,0,,to date i have never con across pro vegan this sounds made up
257,,,dan poulter mp for central suffolk north ipswich impregnated former researcher and made her have other female researchers
258,1,Québec,i don't think is wrong what is wrong are circumstances that leads people to an
259,,Galway,well said declan meehole jumping on bandwagon
260,,,then take care of children after they are born turning over to criminals wasn't good before and won't be now
261,,,i heard that when he was asked what he would do regarding bill he said i would pay it
262,0,,i hope to god one day we will look at in same way we look back at slavery and say how did we let this happen
263,,"Texas, USA",thank you rep ratcliff now please release memo to protect those of us that survived mills
264,1,,that's bunch of bs i've use planned parenthood they've never offered to send me to an clinic pence it work
265,0,"Colorado, USA",every person that supports should have to witness one first hand of them would change their minds
266,0,Earth,there are times when i have questioned doubted and even denied my christian faith i have remained anti-abortion my entire life
267,0,"Clearwater,Fl",he was pro until he found republican jesus
268,0,"Wherever I go, there I am.",at what point will we stop pretending that is not murder of child
269,1,Sealand,that dawning horror when you see an anti-abortion protestor on metro and realize it's friday it mid-january #marchforlife
270,1,"Canton,OH",regardless of your views on #marchforlife is scam that coddles politicians rather than confronting actual issues #fakeprotest
271,1,USA,r u as happy to join them when they aren't giving something away how about when they are protesting
272,1,Seattle,is still legal so there's that #choice
273,0,Ohio,#marchforlife today pray to end everyday #alllifematters
274,,Earth,married man had #unprotected sex that spells #justsaying #trump
275,1,,additionally if you believe is killing baby youd make contraceptives wo co-pay priority but you dont
276,,,shapiro has always been anti-abortion what is new in that
277,,Right here where I live.,now trump is scheduled to speak to anti marchersscrew his scheduled
278,0,"Jackson, MI",no one likes and wants to prevent it i'd beg to differ that's why they march
279,,"Pennsylvania, USA",this was said ethics of discuss or comment i just want to see people's reactions
280,1,"Hurricane, WV",if your #poor and seek #legal your #trash if your upper #middleclass or #pastors #daughter its #oops #exploratorysurgery
281,,"Brooklyn, NY",robots are my favorite
282,,"Durham, NC",talk on #feminism #humanrights is underway and we're live tweeting follow conversation below
283,,"Washington, DC",what people should be talking about today democrats don't think doctors should save child born alive after failed
284,,"Los Angeles, CA",given that #trump is taking moral positions on #lgbt rights appointing moralists i care about sex
285,1,Minnesota,i have unalienable right to life that has nothing to do with your opinions i thank god for my
286,0,,modern liberalism is cult is its only sacrament #marchforlife
287,0,Dallas/Ft. Worth Tx,left confuses blurs line between procedure
288,0,"Dublin City, Ireland",birth is natural occurrence nothing to do with force isn't medicine
289,,ireland,sake twitter is just an carousel at minute
290,1,Somewhere Out There,wow cnn to cover huge anti-abortion protest after decades ignoring christian half of us trump will speak th #marchforlife
291,,"Florida, USA",come on tom put out an offer for woman to come forward that had an paid for by donald i know she is out there
292,,"Austin, TX",most people on either side of debate are motivated by love for people will you change minds and hearts with hateful rhetoric
293,,,how long till we hear about hush money trump paid to keep an quiet
294,,,no pro life is about why are you so dumb on facts
295,0,,is only thing that shouldnt be option
296,0,"Dublin City, Ireland",is free ride no responsibility for men
297,,Teheran,more restrictions but bernie thinks rights are distractions
298,0,"St. Louis, MO",i prefer term pro-life because theres heck of lot more to position than single issue of
299,0,USA,if he were racist he'd be for not against it
300,0,"Laguna Beach, CA",anti-abortion rights movement are you kidding me w that terminology can't call it pro-life movement pro-life supporters
301,0,"Denver, CO",we love what you are marching for god is life stop now
302,1,,so miscarriage then is by god
303,0,Somerset/Portsmouth,so donald trump now believes laws are wrong and must change i wish that surprised me but i expect nothing less from him
304,1,"Northern Virginia, USA",legal is times safer than pregnancy and childbirth #womenslivesmatter
305,1,,there are several reasons should always be legal
306,1,United States,it's not whether you or for or against it's not my choice to make for someone else their body their choice #marchforlife
307,0,Neo-Byzantine Empire,ive always been pro-life and i always will be i pray that our country will end #marchforlife
308,0,Waiting for the SUN,with all due respect is shithole choice no one no one ever wants one
309,,"Upper West Side, Manhattan",i bet has paid for
310,1,,women are also entitled to full protection of our laws is legal constitutionally protected procedure
311,1,"North Las Vegas, NV",youre hypocrite if you think is murder but still support bombings in syria #marchforlife
312,0,,so is an act of murder and irresponsibility
313,1,,anti is fine for people just dont try to tell rest of us what to do with our bodies
314,,,it should be noted that rates have been on decline since
315,,,has he ever had pay for an on his behalf
316,0,,only if #plannedparenthood clinics were life clinics but it's just an clinic
317,,,i may or may not have whipped out coat hanger in our english class debate on
318,,,same guy that wanted marla maples to get an abortionlmaook
319,,"San Diego, California",yeah usually when dealing with he just has to throw woman few hundred bucks and its not his problem anymore
320,,"Paris, France way back when",omg hicks wrote conscientious into donnys speech and it came out conshushish she is getting spanking tonight
321,0,,ive noticed everyone who is for has already been born reagans words hold strong today #marchforlife
322,0,"Washington, DC",nursery in an clinic is freezer where bodies are held #marchforlife #prolifeyouth
323,,United States,why is he so proud he is an himself
324,,Texas,is that why he asked marla to get an
325,0,The Shire,when you say that woman had better have an it's not just child that you call unwanted but woman too
326,,,any legitimate info regarding in his private life
327,,,ask pence how he feels about trump telling marla maples to get an
328,,,betcha anything that donald trump has paid for an
329,0,"Charlotte, NC",what pathetic joke only mikey cares about could care less
330,0,"Puddletown, North America",what are you doing to make birth control available so that won't be consideration
331,,"Chicago, IL",nobody knows more about then donald trump i guarantee you
332,,"Austin, Texas",oh its day add litttle jesus to mix and ill bleed myself in my fucking truck
333,0,,yes under circumstances but in states you can have an months pregnant
334,0,"Concord, NC",support hr born-alive survivors protection act
335,0,xxx xxx,is murder #marchforlife
336,,"Crawfordsville, IN",trump has asked his own wife to have an instead she had tiffany
337,1,East Nashville TN,to be fair though they do believe that is actually murdering babies
338,0,,jones their whole thing is with trump going after theres no way no way hes with illuminati
339,0,United States,ppl is no different than german gas chambers germany committed mass murder and ppl commits mass murder with
340,,Toronto,he had sex with stormy without condom and we are all to believe he would not want her to have an if she got pregnant ha
341,1,"Kilbirnie, United Kingdom",#trump says us law needs to change no president of us needs to change
342,0,"Silver Spring, MD",you have no right speaking about and its not religious freedom
343,0,Depends where I am.,asked if there was any case in which he did support donald trump quickly replied eric #marchforlife
344,1,"Hell, at Satan's left hand",cn pregnancy forced birth access to and birth control is basic human right forced birth is torture
345,0,,there's no difference between being pro and pro death
346,1,,if you don't think govt should provide welfare programs then please shut fuck up about ur stance on
347,0,,failure is country that brings in an admission it lacks foresight and willingness to protect weak #savetheth
348,,"Rantoul, IL",one more thing i bet if he got stormy daniels pregnant he would have demanded an
349,,,lies lies lies how president lies he is marla maples to have an hypocrite hypocrite
350,0,,permissive laws
351,,Texas,denying climate change is performing an on humanity
352,1,"Las Vegas, NV",pro choice is not pro
353,,,do we have any legitimate information regarding his involvement with in his private life
354,,"Washington, DC",i'm guessing pro life is anti
355,,"New Jersey, USA",rt if you think has either paid for or arranged at least one
356,1,"Cardiff, Wales",you know if you dont want an dont fucking have one end of story otherwise stay fuck out of womens bodies
357,1,"Evergreen Park, IL",oh shut up you religious fanatic check on mortality rates in texas since your laws went into effect
358,0,"Seguin, TX",will phase out like slavery
359,,Location,if you believe for one second he is anti then you are moron
360,,"Camden Town, London",out of interest what is position on
361,0,,paul ryan today we passed born alive protection act to protect babies born alive after #marchforlife
362,1,"Victoria, British Columbia",not missing point pro life groups consistently refer to pro choice as pro
363,,"California, USA",hey trump heads donny wanted marla to have an have you people forgotton this
364,,"Fairport, NY",i'm now for post birth you wanna volunteer
365,1,Cabin in the woods,i'm fine with not having but pro-lifers must adopt all unwanted kids fair is fair
366,0,,ban fk youre right to murder
367,,,man doesnt even have protected sex with porn stars imagine all hush money hes paid out
368,,,anti-abortion
369,,"Shreveport, LA",does anybody believe that trump has not paid for some woman to have an or even pro-life for that matter
370,,,you will order them stop now and they will break their necks to do it
371,,"Hillsboro, OR",by asking marla maples to get an
372,,"Auburn, Wa.",waaaaaaaaaaaaaaahhh supreme court is legal snowflake republicans pro-infinitesimal-life or anti-babytoddlerchild
373,0,,is murder their blood cry out to god of abraham tothe god issac to god of jacob tothe god of israel
374,,,doing great job at an anti rally
375,1,,love does not save lives health care saves lives and health care includes
376,0,USA,i take it whoever wrote this would have went right to get an
377,,New York,i'm going to guess essential consultants llc has paid for an or two
378,0,"Washington, DC",today we passed born alive survivors protection act #marchforlife #prolifeyouth
379,,"New Jersey, USA",rt if you think has either paid for or arranged at least one
380,0,ohio,we need to defeat terrorists we need to help israelwe need to end there are other options
381,0,,give it up naral is not an answer for your disputes with trump #whywemarch #wnyimarch #marchforlife #masslife
382,,PARADOX ,excuse me is death penalty just as much murder as in eyes of god
383,,Bouncing around at the moment,watching trump at right to life rally or whatever this is and you can tell he has no idea what he's talking about re
384,,,i hear was failed coat-hanger
385,,"Malibu, CA",he has that very anti-abortion face
386,1,,legal is and will remain law if youre against dont get one #marchforlife
387,1,,if men could get pregnant there'd be clinics in every town and just imagine if women regulated men's semen emissions #prochoice
388,0,London by way of Eastbourne,trump announces america is more pro life and us laws are wrong and need changing
389,1,Planet Earth,moses was pro
390,,California born and bred,nah he would've pressured her to have an
391,1,"Warwick, NY",this is lie plenty of people love
392,,"Dublin, Ireland",there's no moral achievement in changing location of from ireland to uk
393,,"New Jersey, USA",rt if you think has either paid for or arranged at least one
394,,South Carolina,nahhhhthe libs will just just call it late-late-term
395,,California,jesus you dumb b stop obsessing about for goodness sakes you're blocked
396,,"Forney, Texas",unless its an for mistress then its a-ok
397,1,"St Louis, MO",i'm used to religious denying to other people denying other people basic medical care is wrong and unjust
398,,,just another ploy to get around roe v wade why else would he be speaking at an anti-abortion rally
399,,Oregon,only for that reason i'm curious what other reasons are that you'd be against
400,0,"Washington, DC",we dont want restricted we want abolished
401,0,"California, USA",only of americans support on demand yet media makes it look unanimous
402,1,"Massachusetts, USA",double standard don't get girl keeps baby now she is welfare queenso pencetrump you support these women
403,0,"Baltimore, MD",shows their disdain for pro life rally for life by disrespectfully refering to it as anti demonstration #fakenewscnn
404,0,,im against but i dont think this country needs anymore low wage workers
405,0,,is not right you moron just because something is legal doesn't mean it's moral slavery was legal at some point
406,1,Palms,government needs to stay out of issue this should be between woman and her doctor
407,0,"Birmingham, AL",i was adopted after failed we should be doing everything we can to promote adoption and end #marchforlife
408,,"Chicago, IL",living right there
409,,,last i checked is legal in all statesexplain to me your reasoning
410,,Ajijic Mexico,lol if this guy hasn't paid for an i will eat my hat
411,,Kuwait,
412,1,New York,yes i support for cases rape death of mother severe disease of fetus
413,,"Bismarck, ND USA",talk hosts all giving marching orders for anti-abortion thing if this is talk radio i want no part of it #talkradio
414,0,,president trump - your speech at anti-abortion rally was wonderful truly beautiful and much needed god bless you and your family
