,label,location,tweet_text
174,1,,marie you mother should have had an abortionobamas too
177,1,Minneapolis/St. Paul - For now,i'm genuinely confused by that analogy i don't understand how woman having an could physically harm public
183,1,,i hope these anti-abortion folks at white house ask trump about stormy daniels
185,1,Oklahoma,especially with anti-abortion pro-hooker djt
188,1,"Hilton Head Island, SC",fake news - trump cannot do anything about rights
192,1,,trump is speaking to pro-life rally so if stormy got pregnant you all really think dotard would have opposed her
197,1,United States,i am always amused when so called small government conservatives want to impose their views on on me
201,1,,will never end if you make it illegal you'll just have dead women but you don't care about that
202,1,East Coast,is constitutional right so sick of these quacks
204,1,"Main Street, USA",i find it astonishing that porn king potus never had lover who needed an
207,1,,i only support because blacks overwhelmingly abort their children compared to white folks
209,1,CBUS Ohio,lol congratulations on your descent into same lines of logic that gave us as baby murder
213,1,"Dom Perry, Finland",if all pro-lifers put sincere effort into making need for lesser that would be much more effective
218,1,"State College, PA",so true this myth that women use as casual option must stop
220,1,,isn't murder even bible understood that fetus isn't worth same as life
221,1,"iPhone: 38.643208,-90.260887",im and i remember when being pro-life generation meant more than anti-abortion
230,1,,and rates are at historic lows get hint
236,1,,saw sign at church that said pray to stop this is why people look down on churches lol keep ignorant shit inside jesus
239,1,"Houston, Texas",thats definitely it will always be needed and ill always be here to help make that access possible
242,1,,it's weird that they call out and euthanasia specifically but not trans stuff why
243,1,,yes and hindsight always acknowledges them as atrocities is next
246,1,"Oklahoma, USA",you sound like someone who thinks is just used for birth control how vile
257,1,Québec,i don't think is wrong what is wrong are circumstances that leads people to an
263,1,,that's bunch of bs i've use planned parenthood they've never offered to send me to an clinic pence it work
268,1,Sealand,that dawning horror when you see an anti-abortion protestor on metro and realize it's friday it mid-january #marchforlife
269,1,"Canton,OH",regardless of your views on #marchforlife is scam that coddles politicians rather than confronting actual issues #fakeprotest
270,1,USA,r u as happy to join them when they aren't giving something away how about when they are protesting
271,1,Seattle,is still legal so there's that #choice
274,1,,additionally if you believe is killing baby youd make contraceptives wo co-pay priority but you dont
279,1,"Hurricane, WV",if your #poor and seek #legal your #trash if your upper #middleclass or #pastors #daughter its #oops #exploratorysurgery
284,1,Minnesota,i have unalienable right to life that has nothing to do with your opinions i thank god for my
289,1,Somewhere Out There,wow cnn to cover huge anti-abortion protest after decades ignoring christian half of us trump will speak th #marchforlife
301,1,,so miscarriage then is by god
303,1,"Northern Virginia, USA",legal is times safer than pregnancy and childbirth #womenslivesmatter
304,1,,there are several reasons should always be legal
305,1,United States,it's not whether you or for or against it's not my choice to make for someone else their body their choice #marchforlife
309,1,,women are also entitled to full protection of our laws is legal constitutionally protected procedure
310,1,"North Las Vegas, NV",youre hypocrite if you think is murder but still support bombings in syria #marchforlife
312,1,,anti is fine for people just dont try to tell rest of us what to do with our bodies
336,1,East Nashville TN,to be fair though they do believe that is actually murdering babies
340,1,"Kilbirnie, United Kingdom",#trump says us law needs to change no president of us needs to change
343,1,"Hell, at Satan's left hand",cn pregnancy forced birth access to and birth control is basic human right forced birth is torture
345,1,,if you don't think govt should provide welfare programs then please shut fuck up about ur stance on
351,1,"Las Vegas, NV",pro choice is not pro
355,1,"Cardiff, Wales",you know if you dont want an dont fucking have one end of story otherwise stay fuck out of womens bodies
356,1,"Evergreen Park, IL",oh shut up you religious fanatic check on mortality rates in texas since your laws went into effect
361,1,"Victoria, British Columbia",not missing point pro life groups consistently refer to pro choice as pro
364,1,Cabin in the woods,i'm fine with not having but pro-lifers must adopt all unwanted kids fair is fair
374,1,,love does not save lives health care saves lives and health care includes
385,1,,legal is and will remain law if youre against dont get one #marchforlife
386,1,,if men could get pregnant there'd be clinics in every town and just imagine if women regulated men's semen emissions #prochoice
388,1,Planet Earth,moses was pro
390,1,"Warwick, NY",this is lie plenty of people love
396,1,"St Louis, MO",i'm used to religious denying to other people denying other people basic medical care is wrong and unjust
401,1,"Massachusetts, USA",double standard don't get girl keeps baby now she is welfare queenso pencetrump you support these women
405,1,Palms,government needs to stay out of issue this should be between woman and her doctor
411,1,New York,yes i support for cases rape death of mother severe disease of fetus
425,1,507 🚗 612✈️ 480,literally my whole philosophy on its not my sin and its not my body
428,1,,liar in chief he was pro before he was supposedly against it ask
432,1,,well that's dumb should stay legal as long as there are women
433,1,"Washington, DC",religious bullies go away legal is here to stay
436,1,Arkansas,trump fine with months ago speaking and marching for pro-life today
438,1,,they're anti-abortion which is difference if they truly cares about life they'd care about all lives not just one of unborn babies
439,1,USA,#marchforlifetrump benefits to society that bans among them life liberty pursuit of happiness peace love and joy #maga
440,1,"Alaska, USA",its funny how trump is not for that has not always been his stance he has been for for years
445,1,"Memphis, TN",i don't view as moral failure you do morality is subjective and cannot be written into law
461,1,"Derby, England",president of united states of america doing speech on supporting and anti-abortion march anti this is what's wrong
462,1,Masturbation Station,march for life my fucking ass is important
468,1,,i feel like people go way too far when they try to equate to murder like thats stretch reach leap and bound
471,1,7/14/18,anti makes me so mad
474,1,Deep in the heart of Texas,#trump is such liar no state allows for -month of people approve #marchforlife
476,1,"Colorado, USA",and another thing to republicans if you don't believe in use condom you dumbfucks
478,1,,i wish ur mother swallowed or aborted we would never be in this crap this is i support
479,1,,is anybody thinking about trump's mistresses don't they deserve rights too #marchforlife
480,1,"Massachusetts, USA",people are not for they are for right to choose
484,1,"Troy, Michigan",there is no such thing as late term it is not medical term it's political one #marchforlife
485,1,{NoDak},friendly reminder that when women have access to birth control specifically long-term bc rates drop drastically #marchforlife
488,1,"Littleton, CO",anti but lets deport innocent children split up families and not provide health care to children
489,1,,#trumps anti speech any people of color behind him did i miss them #shitholepresident
490,1,,if you dont believe in dont work at an clinic
491,1,,you can not get an after weeks unless its medical emergency situation #studyup d
493,1,,does know that was pro before he wasnt hypocrite #marchforlife
494,1,"California, USA",#marchforlife rates are higher in red states if you want less make birth control access easier
495,1,,agreed i voted trump and sincerely wish trump promotes
500,1,Earth,does trump know that bible endorses
504,1,수고했어요 김종현 ♡,if youre anti you deserve to die
506,1,The Shire,some pregnancies might be unplanned but many are unwanted support women not
514,1,"Follow me, I'm going places.",you fucking bastards you are speaking against law of land is legal you idiots
515,1,"Saint Paul, MN",it's not an anti-abortion rally it's an anti-choice rally - get it right
531,1,"The dalles, Oregon",trump is talking at anti rally instead of working to protect actual humans #trumpshutdown
532,1,Atlanta,you sound like schmuck nobody likes but its medical procedure and women have rights so preach but we reject
536,1,Oregon State,#trump how about trying to help those already born should not be club your words ring hollow
545,1,New York via Nashville,so weird that this anti rally is all white people
552,1,,how do know does kill do we have any scientific evidence #freedomforall
556,1,Droitwich,it's not even baby at stage of have you never learnt biology it's foetus
560,1,,in kentucky my own health care plan refuses to pay for not covered
561,1,United States,what is this happy horseshit access to is law of land how many did you pay for
566,1,TEXAS!!,has nothing to do with opinion of these bible-thumping self-righteous assholes
567,1,"Los Angeles, CA",is legal you are literally protesting something that is legal
581,1,Jamaica,trump is trying to making illegal tell me now what is that going to achieve
584,1,Dorset,why are right anti-abortion and yet pro-guns
592,1,,sorry #california is no longer going to be an option for medicaid regarding contraception
594,1,Caribbean,when trump talks about saying it's wrong yes but what about orphans
596,1,Toronto,gee america has super permissive laws said no one ever
611,1,"Connecticut, USA",you are prime example of why is much needed
613,1,TEXAS!!,is medical procedure has nothing to do with religion or politics
615,1,,yet no one is locked up for having legal it's not murder
629,1,TEXAS!!,all these anti-abortion protesters can go fuck themselves mind your own fucking business assholes
634,1,United States,pretty sure anti abortionpro life movement is all about white life always thought it trump administration support clinches it for me
644,1,"Georgia, USA",i find it ironic that anti-abortion folk are pro death penalty
652,1,,it's real problem when most powerful man in world thinks it's okay to have an anti-abortion march
657,1,"New Mexico, USA",fuck your anti-abortion rally
658,1,HockeyTown USA,see trump is more like myself hes not even anti hes just against late term i am too
665,1,NEW YORK ,blows my mind is anti your privileged white dude youve never knocked up sluetter and had to take care of it
668,1,,what is wrong with why do these nutters hate it
678,1,Washington DC,what is this anti rally happening like what no
702,1,,yo if i want to get an ima do that shit and government should have no say in that
703,1,"Delaware, USA",kicking kids out on one hand and against on other
705,1,"Washington, DC",there is no such thing as on demand men have made it almost impossible in many states #marchforlife
707,1,Toronto,canada doesn't even have an law ltliesgt
708,1,"Boston, MA",hey you dont believe in then dont have one
713,1,RHODE ISLAND,should be legal stop trying to police women's bodies
719,1,"Dublin, Ohio",until there is free and accessible birth control for all i dont want to hear shit about
720,1,"Maine, USA",#badreasonstogetmarried didnt have access to affordable bc care was illegal and had other options
754,1,,so is no one going to discuss how these people saving lives were same people bombing clinics #marchforlife
755,1,"Kirtland, NM",pro pro choice same thing
757,1,,they arent angry until they get raped and now cant have an
759,1,,plenty of people use and are okay with it dont twist narratives chris
760,1,,isnt murder but people using guns bombs famine torture etc to murder people is
768,1,"Sacramento, CA",its pretty easy you don't agree with don't have one boom problem solved
773,1,"Charlotte, NC is still Blue!",why would anyone want to end how ignorant is that
774,1,"williamsport,pa",dont like dont have one dont tell me what to do with my body #marchforlife
784,1,"Fort Worth, TX",there's this lil thing called separation of church and state so using ur lil bible verses to oppose is pointless
788,1,,nerve to support anti - when children who depend on chip is still up in air
800,1,,i would go step further and say that is medical procedure
807,1,,im pro choice because i think an is better than parent blaming their kids for ruining their lives
821,1,,i love
824,1,"California, USA",btw as of last year is at am all time low due to success family planning efforts such as pp centers
828,1,,is not killing child
836,1,,one that number is extremely outrageous two you know mother consents right she has choice of getting an
841,1,,god supports numbers -
843,1,,should not only be legal but encouraged there's too many humans on this planet you're an exception not rule
848,1,Below The Mason-Dixon ,regardless your stance on it is dangerous to revoke womans right to one some of yall genuinely shock me
852,1,,isnt murder thats why its called and not murder your opinion is invalid
862,1,"St Louis, MO",if you do not want an do not get an
863,1,New York City,#marchforlife is great reminder that if men gave birth would have been included in articles of confederation
865,1,,rallying for to be outlawed is rallying for forcing women to give birth it's forced birth
866,1,,i think it's official we can call anti people target of russian mob
877,1,United States,i fully support and recommend for jewish women
884,1,Freeing Palestine,free on demand no apologies #marchforlife
887,1,USA,anti yet end medicaid take away food to feed them keep wages low for ceo profit
889,1,,law says women's right to choose is legal is legal how about supporting those laws
893,1,"Alexandria, VA",imagine world where say of energy spent protesting was directed toward fighting human trafficking or addiction or or
896,1,"Palm Springs, Ca.",democrats want to fund of american babies while funding illegal babies birth
897,1,,does this unique evil persist when an saves life of mother
901,1,,my parents should have gotten an fucking republicans
906,1," Plymouth, MA. 023t",lets poison anti activists childrens as they spew toxins on soil
907,1,United States,is health care and health care is right #marchforlife #medicareforall
930,1,,free on demand without apology #marchforlife
933,1,United States,get men out of decision making process its up to woman on it should not be political
937,1,United States,men dont have say on period literally period you dont get period you dont give birth you dont have say bye now
938,1,,friendly reminder that banning wont stop it just stops safe
946,1,,so what should priests at an all-boys school say about nothing they should shut fuck up
949,1,"Whitesboro, NY",i will never regret my #marchforlife
953,1,northern New Jersey,who would choose i would i did twice i wanted child i grieved those but i do not regret them
954,1,FUCK TWITTER,i think should be completely illegal
956,1,"St Louis, MO",at least you said 'anti-abortion' instead of pro-life
959,1,,you don't want an ok don't get one
963,1,,if you dont want an dont have one but let every woman make her own decision
964,1,,an is something done out of necessity not out of want christ
965,1,,sorry dude but i can't be shamed for supporting rights i'm woman who might need an one day
969,1,Cleveland  Ohio USA,your party is reason why should be woman's choice and not government
970,1,,to of pregnancies end in miscariage if is murder god must be serial killer
972,1,Follow my music @DOsbornemusic,show me where is outlawed in christian bible or any other major religious book #marchforlife
973,1,United States,how many were aborted prior to roe v wade making it illegal won't prevent
975,1,,i don't care how much you personally believe that is wrong you don't get to deny women right to make that choice
984,1,tampa fl,no body has right to tell woman what to do with her body no one like but its no one decision but that woman
985,1,,no universal healthcare saves lives banning entirely only ensures more births
987,1,Miami baby,making illegal does not stop from happening it just open doors for back alley #marchforlife
989,1,Ethiopia,if men could get pregnant there would be clinics on every street corner #marchforlife
991,1,,if you're anti-abortion but pro-death penalty you're not pro-life you're just pro-birth and hypocrite
993,1,"Washington, DC",mens opinions on further iterate their desire to control women who own ultimate means of production
997,1,,you dont like then you don't like all that bible says stop moralizng we will never rescind our right
999,1,nicole • 19 • ⚢ • she/her,people should be able to get an whenever they want pre-fetal viability
1001,1,right near the beach,evangelical anti-abortion people- wouldn't that baby go to heaven
1008,1,"Madison, WI",commenters who think ending legal will end are hilariously deluded keep fighting good fight naral
1023,1,Droitwich,women should have free choice to choose to keep it or have not forced to keep foetus
1024,1,,up to certain point having an is not killing an innocent
1025,1,,if you think is wrong dont have one
1026,1,,we need to make vasectomies mandatory for all unmarried males once married free reversal much easier surgery than #marchforlife
1029,1,Arizona,they wear their anti-abortion stance as fig leaf
1034,1,"Berkeley, CA",its fetus its not life until birth if you dont want an dont get one
1040,1,,anti-abortion until they need one
1042,1,,on demand at no cost ill settle for no less thank you
1052,1,United Kingdom,they are all anti until their mistress gets knocked up or their daughter is up spout by black guy
1056,1,,i loooove
1068,1,,you act as if women don't already know this as nurse you know why was made legal
1072,1,USA,in perfect world would not be necessary but it must remain safe and legal
1074,1,atlanta,if youre anti you can #choke
1075,1,North Carolina,funny that #marchforlife is aginst but same people are willing to thow these kids in abusive foster homes
1079,1,hufflepuff common room,if you believe doctors should have right to deny to perform an over religious reason i hate you
1091,1,Boston,here's thought if you're against don't have one outside from that it's really none of your business what other people do
1092,1,,yet no one goes to jail for having legal because it's legal toots
1094,1,Blue Side of the moon,#marchforlife complete bs if you don't want an don't have oneperiod
1100,1,,can't believe these pro-birth idiots think trump has never paid for an
1104,1,"State College, PA",friendly reminder that is good as fuck and should be available on demand and without apology
1113,1,,dont give me this bull that is murder you look away when those suffering at their worst times die
1128,1,Canada eh,because isnt uncivilized
1136,1,Washington DC,no one should be denied coverage for just because theyre poor #riseupforroe
1143,1,resisting by the sea,of americans overall believe in woman's right to choose per pew which has tracked beliefs since
1146,1,Maryland,its when are you going to realize will always be legal
1147,1,Follow my music @DOsbornemusic,does not murder babies you're thinking of hunger homelessness poverty war you just want to enslave women
1155,1,"Intercourse, PA",hahahaha actually we really care about women's feelings is maybe best anti-abortion take yet
1156,1,California,making illegal doesnt stop it stops safe #marchforlife
1158,1,Castle Oblivion,either fix adoption system or shut fuck up about
1159,1,"Brooklyn, NY",i'm all for as long as it's for capt'n inappropriate
1160,1,,anyone notice how it's only men making speeches at anti-abortion rally
1166,1,"Minneapolis, MN",everyone too supports these anti protests will never win in courts
1179,1,,i see as form of population control honestly good way to keep world from overpopulating
1189,1,,is such life preserver
1191,1,,damn people really think is bad
1206,1,"Pennsylvania, USA",yo marchers aint no one forcing yall to have an
1210,1,State of Mind,keep safe and legal
1212,1,,read constitution separation of church and state dont believe in dont get one
1219,1,,is legal and its gonna stay that way if you dont like it dont get one
1222,1,,heres thing about though women are going to have them whether its legal to or not
1225,1,Midwest,with nearly miscarriages worldwide each year #god is most successful practitioner ever #atheism
1228,1,"Ohio, USA",should be safe legal and accessible
1235,1,,it's ok to have an before age of viability or before birth if mother's life is at risk
1236,1,kyecafe ,leave laws fuck alone not your body not your business fucking fight me this is human right its not up for debate
1248,1,,is and always should be very personal choice #right to choose
1249,1,,legal safe
1250,1,ICON BY tamatanz ;; check link,anti is invalid and thats truth
1252,1,Central Virginia,if i want to host community screening of stories women tell from how do i do that licensing abortionishealthcare
1258,1, PA,pro-life is far more far reaching than
1272,1,"Phoenix, AZ",then just for not have an its simple
1275,1,,if only men especially priests could get pregnantabortion would be sacrament
1276,1,"Boogie-Down Bronx, NY. ",fuck donald trump on demand and without apology
1277,1,"Maple Valley, WA",medical decision between women and their doctors only
1284,1,,it should be required to get an that would solve population problem
1286,1,a private helicopter,free on demand and without apology
1293,1,"Kerry, Ireland",abortionismurder all people who object to should be made adopt kids
1295,1,over the rainbow,if men could have babies would be fine
1306,1,"Portland, OR",i agree but outlawing without comprehensive alternatives will solve absolutely nothing
1309,1,"Maryland, USA",yet pro-life demonstrators often argue that is dangerous this is just not true
1313,1,,saves women's lives
1315,1,ΛVΛ,ladies if is illegal hit my line for small fee ill throw you down set of stairs
1321,1,"Washington, DC",you have no idea how much pleasure i get out of giving super angry gay sassy looks to all anti protestors
1335,1,Canada,sometimes is best outcome unfortunate but necessary #prolife
1336,1,LA,nobody likes i love fuck what you thought
1342,1,"New Jersey, USA",if men could get pregnant would be sacrament germaine greer
1345,1,Where did you get your juice??,stop calling them anti-abortion start calling them what they are anti-women
1346,1,,is legal- freedom to choose #prochoice #prochoice #prochoice #prochoice #prochoice #prochoice
1347,1,,not my place to concern myself with women who choose to get an at any week of gestation
1361,1,HTX,is your choice dont let some dirty dick ass nigga or some onset raggedy bitch tell you what to do wit ya body
1371,1,Riding Appa with Aang,pro lifers are so annoying why do you care who's getting an mind your damn business
1380,1,"Twilight Zone, seriously we all are",i have right to an and if i ever feel need to i damn well will
1388,1,,they oppose but also oppose free birth control and realistic sex education which very effectively prevent
1409,1,"Denver, CO",i honestly don't think men should even get voice on topic your opinion doesn't matter next
1410,1,"15 Yemen Road, Yemen",if you dont want or need an dont get one
1414,1,"Washington, DC",however should be woman's right to choose prior to that time period
1424,1,Southern Ca,if you don't believe in don't have one adopt unwanted babies be foster parent and then shut up
1439,1,,says if youre gonna get raped you better not get pregnant otherwise you get lifetime reminder to support #prochoice
1441,1,,i guarantee if trump had knocked up one of those porn stars he would've forced her to get an #prolife lolz
1446,1,Cali,why are christians against their false god certainly isnt
1450,1,"Gilbert, AZ",is not murder this is womans heart choice its protected by supreme court back off sally
1461,1,Merica ,shouldnt be government decision its personal one #marchforlife
1462,1,"Hope Mills, NC",all for her doing what she wants with her body as long as she is paying for it no tax dollars should fund an
1469,1,"Calgary, AB",we agree is personal medical decision that i have no business involving myself in unless it involves me
1470,1,Zihuatanejo,living dream my man thank god for science
1475,1,"New York, USA",is only ok if child would be severely disfigured or if it's rape baby otherwise women shouldn't open their legs
1479,1,"Pensacola, FL",why do people attempt to ban its their body their choice
1488,1,the great gig in the sky ,making illegal its not gonna stop them from happen and poor women are most affected
1497,1,,men literally should have no say in
1505,1,"Allston - Brighton, Boston",is human right
1506,1,,if you dont approve of then dont have one
1508,1,flavortown,is healthcare
1519,1,msp - most of the time,is an individual choice there is no mandate thus no discrimination this is twisted and dumb
1528,1,"Harrah, OK",lmao show me proof of brain activity in time you can get and ill admit youre right
1551,1,Lowryland Ireland,it would be amazing if energy being poured into that debate in britain was instead spent on access for ni women
1554,1,"Watsonville, CA",patrick there is no woman i know that wants to get an but sometimes it is needed
1562,1,CAPITOL HILL,donald trump need to swhd with this more life march if woman wanna get an let her
1582,1,Orange county CA,only thing worse than is to bring an unloved unwanted being into this world to suffersuffersuffer
1600,1,,remember pro choice does not mean you are pro you just believe in woman's choices
1610,1,,agreed people who also need to learn something are those who are anti-abortion and anti-contraception
1635,1,,everybody has right to and right to pay for it themself not taxpayers
1639,1,,i'm republican i think there should be forced if you can't afford baby you should not be having them period
1644,1,,so when woman is raped and doesnt want kid she has no right to an
1655,1,"Kerry, Ireland",if you are anti don't have one
1659,1,,bruh fuck that anti shit women has every right to decide if she isnt ready for children
1665,1,,i hate to say it but coverage for march for life proves media is biased i love tho
1671,1,"📍ORANGE COUNTY, CA. ",should be legal safe accessible no excuses whatsoever
1675,1,Canada,if you dont believe in dont have one that is freedom otherwise stay out of other peoples lives
1679,1,,if you dont believe in dont have one woman has right to control her own bidy
1690,1,United States,if you don't want an don't get one it's that simple
1694,1,,when is outlawed only outlaws perform them - and women girls die i care more about their lives than fetal life #marchforlife
1695,1,"Oregon, USA",give women full access to health care and birth control and need for will be minimal
1710,1,Down the Rabbit Hole,if only time you consider women's bodies is to express outrage that some women choose to have an consider fucking off instead
1728,1,"New Jersey, USA",yes idiot my god-given liberty and right to have an
1730,1,,so is unacceptable to you in any circumstance wow
1735,1,"Washington, DC",not true i love damn glad it exists and it should be free and available to anyone who wants one
1748,1,,in us god aborts about twice as many babies as planned parenthood #prolife #marchforlife
1749,1,"Baltimore, MD",y'all have to stop with this no one likes nonsense
1750,1,"Houston, TX",let all these anti folks start adopting kids since they care so much or push for children's healthcare
1752,1,"Lansdale, PA",unless it's mistress' kid then is ok
1755,1,"Fort Carson, CO",is legal dont like it move to israel oh wait they give on demand for free
1765,1,,glad to hear it but how does your life experience qualify you to deny access to legal for other women
1766,1,,if you oppose but support death penalty and myth of just war then you aren't #prolife you are just anti-abortion
1767,1,Texas,basically if you make illegal youre gonna have to up social programs to take care of all life #marchforlife
1768,1,United States,trump addressed stupid people at anti-abortion rally
1774,1,"California, USA",ill be theresick of our leaders pro daca pro pro chips pro social security pro medicaremedicaid
1776,1,United States,and yes i know there is times when health of woman is at stake and no doubt an is needed
1782,1,"Cincinnati, OH",lol trump if i want an im going to have an so fuck you lolololol
1787,1,NJ,is still legal in this country don't forget it
1789,1,United States,for record i currently support ban on post- weeks
1791,1,"Whitesboro, NY",is green is moral
1800,1,"Vancouver, British Columbia",an is woman's right
1802,1,Sc: flawless.ruth,ion support but i will always believe women should have that choice
1806,1,United States,i agree completely regardless of my feelings on i recognize that i have no right to make demands on someones uterus
1816,1,Los Angeles,people who get mad about should have been aborted
1819,1,florida,dear #marchforlife you are biggest fucking hypocrites on planet don't want an don't get oneit's your choice #supportpp
1824,1,,making illegal has never in history stopped it from happening it just made it more likely to kill mother too
1830,1,IL-16,i love access and they should be publicly funded #marchforlife
1851,1,NJ,#marchforlife entire anti-abortion crowd is about denying women control of their own bodies and relegating them to breeding stock
1857,1,Canada,not that black white lowers crime and saves future lives
1860,1,,no one should be forced to pay for or perform an free for everybody
1862,1,"Washington, DC",also trying your hardest to make illegal is literally definition of anti-life
1876,1,,if girl wants to get an then fucken let her lmfao shit
1877,1,"Sherbrooke, Québec",advocate for choice that's big reason they keep their fingers in their ears and vote for these guys
1883,1,,which is why i'd get an if i got pregnant
1884,1,"San Francisco, CA",curious how those who fight don't fight so hard for children once they're born or be more supportive of struggling mothers
1898,1,,is legal
1901,1,"Houston, TX",isn't an easy way out
1904,1,,truth is is legal even tho u pro-birth supporters keep trying to whittle away at law
1917,1,anywhere but america,anti-abortion you mean anti-women
1918,1,,inventing time machine to go back and pay everyone whose child grew up to have participated in march for life to have an
1926,1,"Oro Valley, AZ",steps backwarddon't want an don't have one
1927,1,,thousands also died from botched procedures isnt going away it will just be less safe
1933,1,Saturn’s Ring,i woulda got
1956,1,BFE,being denied an will kill women includes saving womans life
1964,1,,you're male you don't have an opinion on because it's not your damn body
1968,1,"South Lake Tahoe, CA",anyone who doesnt support on demand is anti-woman and extremist go pound sand
1976,1,,thousands in washington await trump address to anti-abortion rally women's right to choose
1978,1,"Newport News, VA",how do you carry something in you for months just to kill it get an bitch
1980,1,"Twilight Zone, seriously we all are",will be staying legal we arent going back to dark age back alley
1983,1,your worst nightmares,i do not and have never for one minute regretted having an happy #marchforlife everyone
1984,1,"Harrah, OK",is murder is just such an uneducated way of going about
1987,1,,paul if you don't want an don't t have one
1989,1,Michigan,yes i personally would not have an but i have no say in what someone else does with her bodyi
1994,1,Fuqua & Kuykendahl,third trimester is rare and usually heartbreaking last resort choice women never intended to make
1995,1,,same i believe that if it's in case of rape pro definitely all way
1996,1,Outside the cave,shouldn't be outlawed entirely but i dont want baby shouldnt be reason for
1997,1,,someone is in desperate need of biology class also check out legal regulations
1998,1,"Prineville, OR",what an idiot providers do not kill babies newly born apparently female physiology is mystery to him
1999,1,United States,keep your values away from freedom and rule of law dont like dont get one
2006,1,,stopping someone from getting an is treading on their rights
2011,1,,is about bodily autonomy read up on it
2023,1,Southern Alberta. ,there's no law which is good thing doctors and women should decide nobody else
2026,1,"Ohio, USA",on topic of dad i believe in people making right choices and plan b pill
2028,1,,if youre against then dont have one do not tread on someones rights
2038,1,Anywhere but here,i think trump is very reason should be legal well into babies senior years flush em
2039,1,,and his speech will accomplish absolutely nothing can't deal with legal move to iran
2043,1,Merica,dont like dont get one stop trying to impose your views on other people
2045,1,Zihuatanejo,#marchforlife thank god for
2046,1,North Georgia,bunch of animals are too stupid to use birth control then cry about rightsirresponsible fools make me sick #marchforlife
2048,1,"Georgia, USA",they are actually try to pass bill that cuts off at weeks most women dont even know by weeks
2050,1,"Victoria, BC",and my mother always used to tell me it was never too late for an
2054,1,,adoption is not answer to
2071,1,"Portland, ME",is very compelling case for
2076,1,,excuse me but woman has right to it's her body not yours
2077,1,,youre not feminist if ur anti so
2091,1,,has no right to make antiabortion policies he's not one getting them so his damn opinion on doesn't matter
2107,1,,it is outrageous that you would participate in this is legal
2108,1,"Austin, TX",so think of as opting out of involuntary uterus donation if it makes you feel better
2110,1,"Ontario, Canada",is not murder #prochoice
2116,1,,yall really think making illegal will stop people from doing it lmao it literally just stops all safe ways to do it
