,label,location,tweet_text
56,,Colorado ,@Rschooley Does any rational person really believe trump never paid for an abortion?
57,,New York City,@j_mclaughlin83 I’m guessing abortion.
58,,,"@JackPosobiec Cuz yall are gross! 
#I♡abortion"
59,,United States,"@Tellall2012 Hey guess what, the largest mass killing of African Americans  is from abortion."
60,,,@mattsiegel @ToddDracula @PatBlanchfield I read your dumb shit. Abortion jokes. How grown of you. Nincompoop
61,,"Kissimmee, FL",Thank you for attending Match for Life Mr Oresident. Thank you for working to stop abortion in America. #whywemarch
62,,"Buffalo, NY ➡️ Los Angeles, CA",Trump has to have paid for an abortion at SOME point.
63,,,@realbuntyking Partial birth abortion etc
64,,"Ohio, USA",@Jenny_Trout @WalshFreedom is the exact reason why women tell men to sit down &amp; shut up in the abortion debate.
65,,,@realbuntyking Obviously he's speaking about abortion up to the ninth month...
66,,,"“Only 12% of Americans support abortion on demand”

Uh, guessing he just pulled that number out of his big fat ass."
67,,Dimension X,"@TravisLeeClark Make abortion great again, starting with the grand kids you'll never have."
68,,,@KemberleeKaye @ABC Is that inaccurate? What is the purpose of the rally if not to oppose abortion?
69,,University of Kentucky ,Abortion should be legal end of story
70,,United States of America,Abortion means kill baby.
71,,United States,@walterowensgrpa There probably gonna go on an abortion spree - be safe gramps!
72,,"Boston, MA",@JordanUhl I wish Carlson and hannitys mom had an abortion. These are two terrible human beings.
73,,"Los Angeles, CA",oh mm hmm yeah i'm real sure certain noted philanderers' anti-abortion pivots hold up under rigorous scrutiny.
74,,,@theitchypenguin @RandPaul Abortion is wrong on so many levels.
75,,,@VP @POTUS @March_for_Life Remember to have him relate how American money finance abortion in Israel
76,,,@ToddDracula a 9 month abortion is called a birth hope that helps
77,,"Washington, DC, USA",Trump's views on abortion haven't changed one little bit since 2004
78,,Texas A&M University,“What if that money (spent on abortion) was used to end the baby’s disease and not the baby’s life?” #MarchForLife #LoveSavesLives
79,,"Buda, TX","@politicalmath If they will call us anti-abortion, we can call them pro-death."
80,,Trysil Norway,"“How come when it’s us, it’s an abortion, and when it’s a chicken, it’s an omelette?”
― George Carlin #quote"
81,,"South Carolina, USA",@DFBHarvard Abortion is not a birth control pill!
82,,Texas A&M University,“Abortion is the only human rights violation they dare to call a human right... it’s Orwellian” #MarchForLife
83,,"Alabama, USA",@afncwoodward @AllianceDefends You think your president has ever paid for an abortion?
84,,"iPhone: 0.000000,0.000000",@drunknotwasted @GrnEyedMandy Please point me to the group of living/surviving abortion victims.
85,,SoFla,"How much $$ do baby traffickers (adoption services) lose when abortion is legal???
#MarchforLife"
86,,TN,"Quote: ""Abortion is gender-cide.  An estimated 100 million female babies worldwide have been aborted based only on their gender."""
87,,Cudi Zone,"People against a woman's right to abortion, should have been aborted..."
88,,neverland,If you’re anti-abortion then DONT GET ONE!!!!! it’s honestly that simple
89,,,"@StefWilliams25 @STLJimmyG So once again, you are being disingenuous by pretending you care about reducing abortion."
90,,stars hollow,okay but that scene where lady bird confronts that anti-abortion bitch literally saved me we love a feminist icon hashtag aborto legal
91,,,"Liberals: 
“We need to ban guns, they’re killing innocent people!”

Also liberals:
“Abortion should be legal”

Ooook 👌🏼🙃"
92,,Knoxvegas Tn,@JackPosobiec Because CNN MSNBC ABC CBS NBC ARE ALL PRO ABORTION
93,,,"@rip_slagcheek @aggierican @JHolmsted A pro baby murder person will never, ever factually describe an abortion to you. Trust me, I've tried."
94,,"West Liberty, WV","A news outlet's stance on abortion is pretty much evident by whether they call those opposed ""pro-life"" or ""anti-abortion"""
95,,"Carrollwood, FL","@DouthatNYT Some, I dare say even many, people do not view the abortion of a fetus as evil."
96,,,"Also, all the anti-abortion bullshit I had to sit through at Devon Prep is the biggest reason why I will never donate a cent to that school."
97,,applebee's bathroom,these fucking ghouls NEVER take a second to think about why someone might need to have an abortion.
98,,,@kylegriffin1 WTF is the president of the United States doing at an anti abortion rally????
99,,"Mooresville, NC","@laurenduca Not abortion shaming, just suggesting the additional hypocrisy is proven."
100,,Ohio,"@atrupar What, exactly, is permissive about abortion laws in the US?"
101,,,@FoxNews @OutnumberedFNC @POTUS Why doesn't a man have the right to save their unborn child from abortion?
102,,,those abortion protesters are fucking disgusting. no one should ever tell anyone what they can and can’t do with their bodies
103,,"Maplewood, New Jersey",There is no way in hell that Trump has not paid for an abortion.
104,,New York,@AynRandPaulRyan This is called a C section because some births cannot be done the normal way but this is not abortion.
105,,"Philadelphia, Pa",@VP You are such a Liar..not one dine if Federal Funding pays for an abortion...price it you pathetic Liar
106,,South Carolina,"@activist360 Because the rightness or wrongness of abortion is dependent upon what social programs are in place...🤔
#situationalethics"
107,,"Aurora, CO",Good day to remember that at the end of the Obama presidency the abortion rate was the lowest it's been in decades.
108,,United States,Finally someone is talking about PROLIFE! Democrats want abortion on demand.  NO MORE!!
109,,"Florida, USA","How many were actually at todays anti abortion rally?
I was told 100,000 by some opinion caster on focks snooze."
110,,,"@VP I as a tax payer will not support anyone else's abortion.  I believe abortion is murder period.  Thou shalt not kill, it's that simple."
111,,"West Hollywood, CA","@CherylSaenz2 @GrnEyedMandy Also, trump made Marla maples get an abortion which he boasted about on Howard stern."
112,,,@ProfCatHerder @Liz_Wheeler abortion try heart disease
113,,"Palm Springs, Calif","@MyDesert Women's march a Muslim pro abortion march if you were to ask me
!"
114,,,@PressSec @POTUS Trump porn star coming out about abortion story in 3...2..
115,,The Dumbest Timeline,the odds that trump did not pay for at least one abortion are zero so LOL #marchforlife
116,,"Massachusetts, USA",@emigre80 They do. All that is important is that he parrot it. Most of the anti-abortion zealots don't really mean it either.
117,,"Tuscaloosa, Alabama",I’ve also noticed that all of the people who are for abortion were not aborted.
118,,Kansas City,She wouldn't get an abortion #BadReasonsToGetMarried
119,,Chicago,@draiochta14 they don't care as long as abortion becomes illegal again and LGBTQ people are denied every right under the law
120,,Home is where the heart is,"The Republicans who believe that the government that governs least, governs best is officially excused from the #abortion debate."
121,,,"@PressSec @POTUS I'm curious how someone can be pro-life and yet direct a sexual partner to have an abortion. Curious.

#TrumpShutdown"
122,,Wherever He leads me...,"In prayer for the women who suffer, usually silently, from post-abortion trauma. #WhyWeMarch"
123,,"Farmington, CT",@KevinNR @danieltobin Of all the arguments and rejoinders utilized in the interminable abortion debate this has to be the worst.
124,,United States,Wow these conservatives think abortion is wrong but they also support closed borders wow such hypocrites. Smh #MarchforLife
125,,moist shade,"@KemberleeKaye @Heminator @ABC Actually, it IS anti-abortion. Is there something wrong with that?"
126,,native of so cal in deep south,@Mike_P_Williams @kylegriffin1 He is talking about late term abortion - partial births
127,,"Austin, TX","@GregProops @Shakestweetz If men got pregnant, abortion would be a SACRAMENT"
128,,USA Fly Over Country,"@thebradfordfile Although Abortion is HORRENDOUS, it does reduce the number of DEMOCRAT VOTERS?"
129,,,@YogSotho *Googles biscuit abortion*
130,,Castle Camelot,"@AngelaBelcamino Anxiously awaiting the inevitable  ""Trump forced me to get an abortion"" exposé ..."
131,,"Waco, TX","@BillyHallowell He’s hardly anti-abortion, and I don’t particularly buy that. He most certainly is not pro-life."
132,,,@FoxNews @KellyannePolls I bet if he got that porn star pregnant he would have paid for her abortion at the drop of a dime.
133,,,Wish I could be at the @March_for_Life today. Abortion is not a women’s rights issue- it’s a human rights issue.
134,,"Halifax, Nova Scotia","By the way, to what he's TRYING to say; I don't think a single state advocates abortion at 9 months."
135,,,Tom Brady's mother should get an abortion. I don't think the 160th trimester is too late 😂
136,,NEW YORK CITY,"ever notice how like
it's the ones that pay off women to hide sex scandals and illegitimate children that like
hate abortion so much"
137,,We fight #SweetPotatoStalin,@Shakestweetz If men got pregnant abortion would be free and there would be a clinic on every corner.
138,,,I always think I've found the worst Twitter and it's all uphill from here.  Today I found abortion Twitter.  I have to be right this time.
139,,,@kylegriffin1 Really? Doe's anyone really think as much messing around donald has done that he has never paid a woman to get an abortion?
140,,Chicago,If I were a gambling man I would bet a lot of money that Donald Trump has personally paid for an abortion in his life.
141,,,i’m pro life but i’m also pro choice because pro choice is not being pro abortion
142,,The Land of Resistance,@VP #1 Spewing lies at an anti-abortion event...... meanwhile  .....
143,,"Phoenix, AZ",All these #ProLife ppl marching should read the Tuov Plan on why abortion is okay. #MarchforLife
144,,"Hickory, NC",@Education4Libs I Think It's Sad That People Who Are For Abortion.....Are Already Born...
145,,.35000 feet,@Liz_Wheeler went for an abortion yesterday.  shit was dooooooooooooope  🎊🎉💯
146,,"New York, USA","“President Trump addresses anti-abortion rally: 'We are with you all the way'""

This just in,white privilege speaks to deny women's rights."
147,,native of so cal in deep south,@kylegriffin1 I believe he is talking about late term abortion. But who knows.
148,,newcastle upon tyne,"Oh dear, Trump is onto abortion now. That will boil some piss 😂"
149,,Everywhere,@realDonaldTrump Well captain crazy instead of going to abortion rallies maybe you can make a deal
150,,"Ashburn, VA",@RepComstock Late term is 41 weeks to 41 weeks 6 days. No one has an abortion then. But you knew that.
151,,,"broke: supporting abortion as a women's rights
woke: supporting abortion to eridicate the bastard spawn of degenerates"
152,,"Manhattan,KS",@JeannePancurak @BradleyPittma12 @FoxNews @POTUS @March_for_Life He did want Marla to get an abortion when she was pregnant with Tiffany.
153,,,"@LouisatheLast I disagree, I think he's been adamant about abortion for a few women."
154,,,@rip_slagcheek @jasonelevation Society is helped by abortion.
155,,"Mooresville, NC","@shearm @realDonaldTrump OMFG, after last week? Chuck will make Trump agree to Free Abortion Wednedays at The White House."
156,,,@RealDonad_Trump Why don't men have the right to save their unborn child from abortion?
157,,GCU '20,You can’t claim to be pro-life and then not give two shits about people. Trump is just anti abortion 🙄🙄🙄🙄
158,,"Chicago, IL",Apparently being pro life and anti abortion means taking away health care from children #CHIP #GOPshutdown
159,,"West Palm Beach, FL",@Blink8533 @MotherJones Having an abortion when you aren’t in the position to raise a child is being responsible.
160,,"Main Street, USA",@FoxNews @conservmillen @POTUS So really - Trump never had a lady friend who needed an abortion? Ever?
161,,California born and bred,@suzyraz @bessbell IDK about that. If I got pregnant I would certainly want an abortion.
162,,"Texas, USA",@AynRandPaulRyan Bull shit! Where do you come up with this crap?? There are 0 states that allow abortion at 9 months. Fake news. Sad!
163,,Kansas City Metro,We all know Trump doesn't give a fuh about abortion. This is 100% the GOP's hand up their puppet's ass.
164,,"Clemson, SC",I support #MarchForLife because 21 years ago my birth mother chose life over abortion. She gave me a chance to live and have a better life.
165,,,"@CNNPolitics Unless he got a stripper pregnant, then I bet he'd be for abortion BIG TIME."
166,,,"@MSNBC Thank you @POTUS for standing up for our religious rights.  Abortion is murder, no matter how you look at it."
167,,,"While we’re on the topics of Trump making women sign NDAs and abortion... journalists, get to work."
168,,"Wellston, OH",@TimTebow @KatieLTebow @RobbyTebow @petertebow @christyandjoey Thank God your mother chose LIFE instead of an abortion Praise Jesus.
169,,"California, USA","@rachelheldevans I’m personally against abortion (as in I would never choose to get one myself), but I am pro choice."
170,,,@ParkerMolloy I absolutely do not believe that Trump has ever given a shit about abortion before it became politically convenient
171,,"West-By-God, PA","Abortion wrong, evil, and against the vary basis of “life, liberty, and the pursuit of happiness.”"
172,,"Earth, the Blue Planet",@B_lab7410 @bri_bri_suell @Tellall2012 Stop the racist BS. Abortion is wrong no matter what you ethnicity!
173,,Dell Texhnologies,Trump going after the right to abortion now....whats next?
174,,,Donald Trump is so passionate about the issue of abortion that he just said it was wrong that babies are allowed be born after nine months
175,,,"@TheTweetwit Keep quiet and have an abortion
All in one payment"
176,,"Wellesley, MA","@thehill If you don't think abortion has prevented at least one Trump lovechild, I have a bridge to sell you."
177,,Canada,"@CBCAlerts Wow, 12% of Americans are okay with abortion during labour? 🤔"
178,,,@jennajameson We know where we stand as a civilization by where we stand on abortion
179,,"Hudson, OH","@MelanieMcgurr @BettieOnBass I think abortion, but who knows?"
180,,|-/,how can #MarchforLife claim to be fighting for people’s rights when gunning for abortion to be illegal takes our rights away???
181,,,@WhiteHouse Doesn't that idiot know that a late-term abortion in the 9th month is NOT an abortion.  It is called a birth.
182,,"Kenmore, WA","So.... Trumpf is telling anti-abortion protesters he's with them all the way.

You *know* he's paid for more than one abortion in his life."
183,,,"@NorthernArms @KyleKulinski If you're not pro-life but against abortion, that makes you simply anti-choice."
184,,,@David19531501 @emmaogreen @fevziozyurt1 Don't forget it takes an ERECTION to get to the point of abortion. Let's make them illegal.
185,,"Boulder, CO","@PressSec @POTUS Not pro-life, anti abortion.  After the baby is born, then what?  What pro-life?"
186,,Mississauga,#trump spoke at an anti-abortion rally! If only Canada’s Prime Minister cared that much! #Trudeau #trudeaunotmyprimeminister
187,,"Ottawa, Ontario","@PolitiBunny We got to fight with all we have for the unjust abortion, killing laws"
188,,🇺🇸 ,"@thehill He’s speaking at an anti-abortion rally right now.  As long as he’s anti-woman, he’s their guy."
189,,"Cleveland, Ohio",@March_for_Life  we will march until we end abortion. #MarchforLife #LoveSavesLives
190,,,"@BravenakBlog Susan doesn't care. She's WAY past the age of possibly needing an abortion. If she's not affected, fuck it."
191,,Micco hills,".No Matter How 💰Broke A  Man will be in january , Money For 😠Abortion Can Be Organized 😟Within A Day😂"
192,,San Diego,"@SethAbramson Or, “were you upset when Tiffany or Eric’s abortion didn’t take?”"
193,,United States,"We march to see an end to abortion, the greatest human rights injustice of our time. #whywemarch #lovesaveslives"
194,,,@_ryan_a_j_ @KING5Seattle If it’s all about abortion for you perhaps you would be happier at an anti abortion rally.
195,,"Guelph, Ontario",@RobynUrback clearly discrimination.  The law nor the charter say pro abortion
196,,,"GOP position: You can't have an abortion, but we can when we an affair. ""Have the child women"" and we will take away your healthcare."
197,,,@kylegriffin1 So premature birth is Abortion now?
198,,,@MallowNews The Kerry baby has nothing to do with abortion . It’s about a slain child found dead on a beach
199,,SoCal  ,"I'm #ProChoice 
I've never been pregnant. That display at the White House made me want to run out and have a abortion."
200,,"East Coast, USA",@Ragga0 @FoxNews @March_for_Life @realDonaldTrump So if we address needy children your willing to change you stance on abortion?  yes or no?
201,,"Dallas, TX",@Ringo9969 @tedcruz death penalty is reserved for those who have committed heinous crimes.  Abortion is reserved for an innocent life.
202,,"New York, NY",I know this is from a year ago but ABORTION JOKES ARE TIMELESS!!!!
203,,Under your bed,@realDonaldTrump Abortion laws must change? The only thing that needs to change is the US President - you clown #realDonaldTrump
204,,"Chicago, IL",@bessbell What is your response to women tweeting to you against abortion?
205,,"Dun Laoghaire-Rathdown, Irelan",@betaburns @declanganley Abortion is not healthcare. ..real healthcare saves lives abd does  not  intentionally destroy lives.
206,,"Glens Falls, NY",@kylegriffin1 That is not true Trump...no state allows a 9 month abortion.
207,,,Trump probably paid off Stormy Daniels to have an abortion!#MarchforLife
208,,"Vancouver, British Columbia",@ddale8 And Rowe v Wade? He cannot dismiss that although he has removed federal funding for abortion clinics. What a brute.
209,,you're block list,@ByYourLogic any girl that tells those two she's pregnant is immediately told to get an abortion by them
210,,,"@Independent_ie says the man who, two years ago said in an interview he was against abortion. oh i wonder has he had words with soros"
211,,"Chicago, IL","@SpeakerRyan The GOP wants government out of your business. Except for Abortion, Free Press, Right to Organize, medical marijuana..."
212,,"Bedford, NH",@bessbell I got an abortion to show solidarity with women
213,,"Los Angeles, CA","@Stonekettle If Hillary were POTUS, we'd have combination Taco Truck Abortion Clinics on every corner. 

What a lost opportunity."
214,,,@jasonebeling Abortion is legal because women have rights which I suspect is what really bothers you.
215,,San Diego,@TheDweck @KagroX They tried.  She’s an abortion survivor.
216,,,@hogangidley45 @realDonaldTrump @POTUS Check back in his life I am sure at one point he was all for abortion
217,,,If you're against abortion don't have one...its really quite simple.. #MarchforLife #ProChoice
218,,Brooklyn!!!,Nigga just asked me borrow $150 in the humblest tone...I know it's not for abortion fees
219,,"Chicago, IL",Safe and legal abortion is a right. We can't go back.
220,,"Folsom, CA",At home Donald calls Tiffany a botched abortion.
221,,Denton/Agg,I never understood why abortion is a “hot button topic.” I just really enjoy minding my own business
222,,"Kampala, Uganda",Today was my first day to listen to Trump address his people. The anti-abortion match. Great mind
223,,,"@HoodieDemon Worse. It's another way to force a child to answer for their actions. 

Deficit spending is future income abortion."
224,,"Fort Lauderdale, Florida",@kylegriffin1 1. Clueless. 2. Used to be pro choice. 3. Allegedly Requested Marla Maples and others to have abortion.
225,,Washington DC,@tommiecollins I just drove thru all that. Some anti abortion rally. All trump supporters
226,,"Knoxville, TN",@Pontifex Then why sir did you just give an award to an abortion activist? Your actions do not support your rhetoric.
227,,"Washington, DC","""60 million babies have been lost to the holocaust of abortion. We must stand up for all!"" - student speaker Agnes #whywemarch"
228,,,@MrDane1982 @VP Porn star boyfriend speaking at an anti abortion rally. Can't make this stuff up folks.  Oh the irony.
229,,,"@Lj3_TheTruth @codyest92 The right for gay people to marry, the right to get an abortion, common sense gun regulations, and a few others."
230,,on the toilet,"for every abortion women in red states can’t have, i will have three"
231,,Baltimore and Washington,How many Senate seats would the Democrats have if they supported a 20 week abortion ban and a couple other popular restrictions?
232,,"Washington, DC","@JamilSmith If anti-abortion people are SO concerned about fetuses, why aren't they worried about black fetuses and  mothers?"
233,,,@Independent_ie Watch US debate on KILLING THE UNBORN CHILD. In 5 years time there will be NO ABORTION in the US.
234,,"Corpus Christi, TX","In Jesus' Holy Name we eradicate &amp; thwart all evil, especially war, abortion &amp; euthanasia! Jubilate Deo! Deo Gratias! Amen. #prolifepetition"
235,,,@jmargolesky01 @ScottPresler How is an abortion and the death penalty in any way similar???
236,,LA,"I guess the only response to men tweeting to me against abortion is ""I'm sorry, Commander."""
237,,,"Abortion doesn’t just end a life, it impacts lives and changes relationships for generations to come—#whywemarch"
238,,"Pawtucket, RI",“I didn’t believe in abortion until i became a teacher.”
239,,Everywhere,Abortion
240,,Long Island,@FoxNews @KellyannePolls Hopefully we dont find out he opened a delaware corp to finance a porn stars abortion! 🤣🤣🤣
241,,,@Brasilmagic @March_for_Life @POTUS Half those sycophants had their mistresses get an abortion 😎
242,,,Accessible abortion on demand and without apology! #WeWontGoBack
243,,,@ScottPresler @Thomas_195813 Especially amusing as Trump flip-flopped on his abortion position just to run for office.
244,,,"@seculardotorg Then don't go to Catholic Hospitals. The word ""Catholic"" tells you right away anti-abortion."
245,,,"@DouthatNYT True, the emphasis on abortion is warranted, but that does not itself entail exclusion to other issues."
246,,palm coast,@charliespiering @March_for_Life Not March for Life but anti-abortion. CNN is the devil.
247,,San Francisco,@minusbaby Trump is an abortion
248,,United States,@Liz_Wheeler Notice the abortion clinics are in black neighborhoods hmmm. Democrats what’s up with that??
249,,United States,@NARAL @ilyseh So 12% of americans support abortion on demand. How is the 88% a small group?
250,,,"@KenTremendous He used to brag when he learned Marla was pregnant ""what are we going to do about this?"" Real critic of abortion this guy!"
251,,"Tyler, Texas",Have to believe Trump's mother was a victim of spousal rape and did not voluntarily deliver this poster child for csmpulsary abortion.
252,,,"@bessbell Trump is tempting fate. How long till anporn star shows proof he provided funds for an abortion, knowingly..."
253,,"Heidelberg, Germany",@politicalmath I’m sure ABC called the “Woman’s March” the “Liberal Womans Pro Abortion Perpetual Outrage Walk” Right?
254,,,@KemberleeKaye @dbongino You people just make up shit that isn't true. Abortion is murder!
255,,Nottingham ,I hate seeing abortion discussions on here because whatever your opinion is it’s literally not! your! choice! Stfu man
256,,,"@DouthatNYT I think part of the issue has more to do with the phrasing “pro-life”, which connotes quite a bit more than anti-abortion alone."
257,,"Nova Scotia, Canada",@CanaDean @oceanlover998 @cathmckenna @jacindaardern The pro-choice agenda supports birth. If you get an abortion there is no death.
258,,BullCity holds my ♥,@JWPeep The abortion is what did it for me. Apollonia would’ve never.
259,,"Missouri, USA",@PressSec @POTUS How abortion did #Trump attorneys schedule ???
260,,,Imagine if Trump drifted into his personal history with abortion in his March for Life speech.
261,,,"as a former fetus, I don't support abortion #marchforlife"
262,,"Ottawa, ON, CAN",@ShaneClaiborne How would you eradicate abortion?
263,,"Kansas City, MO","If you're pro-life but against renewing CHIP and/or pushing toward universal healthcare, you aren't pro-life. You're anti-abortion."
264,,,My favorite part of getting birth control is the people across the street yelling at me to not go through with an abortion
265,,,@rochejt1 @FoxNews @PressSec @POTUS @WhiteHouse So it's just the term pro-life you're opposed to? Is anti-abortion better?
266,,"Portland, OR","The life of Donald Trump says more about 
the value of safe, accessible abortion than 
his word salad can ever say against it."
267,,,@TalbertSwan @PressSec @POTUS Dems are the party of death. Regulate everything but abortion.
268,,,Why did @POTUS  just say only 12% of Americans support abortion?
269,,,@AynRandPaulRyan This fool doesnt beleive in condem use so you know hes paid for than one abortion. Sit down and shut up
270,,Ottawa Valley,"@jonkay @gmbutts ""Pro choice"" now means pro abortion, not the ability to choose to keep an unwanted baby for adoption."
271,,San Diego,"@Ron_Christie Or as CNN calls it ""an anti abortion protest"""
272,,"Dallas, TX","@CNNPolitics Is that why he demanded Melania get an abortion? 

#FakeChristians"
273,,"Milwaukee, WI",@CNN It’s called pro life. Not anti abortion
274,,"Michigan, USA",Racist Christian Twitter and abortion debate Twitter wound my soul.
275,,,"@charliespiering @March_for_Life Can't call it pro life. Must refer to it as anti-abortion. Stay classy, cnn"
276,,,"@coreyjaedesmond @scrowder if you get raped, you don't wait 6+ months to get the abortion tho"
277,,,Whiskers the cat should have been an abortion
278,,Waiting for the SUN,@bessbell It’s such a personal horrible topic..I wish it wasn’t throw in our faces like this.. no one ever WANTS an abortion 😓😓😓
279,,Toronto,@VicBergerIV This former abortion utilizer is speaking in an anti abortion gathering? Um OK...
280,,"Anchorage, AK","@charliespiering @March_for_Life Gotta love how it's called ""March for life"" and @CNN labels it an anti-abortion rally"
281,,Landan town innit,Donald Trump should have been an abortion
282,,,@ems56rn @MZHemingway that abortion should be made unlawful when the fetus is no longer what is basically a vegeatable
283,,,"@realDonaldTrump Fu*k you and your cronies. Abortion should be an option. Given your colorful past, you've probably paid for a few yourself."
284,,,just wanted to say that everyone that’s in DC in marching against abortion is clinically retarded
285,,"Zionsville, IN",@politicalmath Not one mention of the fathers or husbands. Perhaps this is a reason to turn to abortion as an option as well?
286,,"Vista, CA",@CorinaRey @realDonaldTrump These Monsters will have a women carry a dead fetus to “ term” because it’s considered a late term abortion
287,,"Ohio, USA",@ScarlettWalker2 @USATODAY I’m certain @WesleyInt would be happy to know their elementary teachers support abortion on social media.
288,,,Can someone ask @StormyDaniels if Trump paid for her to get an abortion after they had unprotected sex?
