,label,location,tweet_text
128,,"Florida, USA","@TrumpsDC I would like to Propose the DEATH PENALTY for Activist Judges!
RT if you Agree!"
129,,,"What a fuckin tragedy, give him the death penalty! The club championship is live!"
130,,,@piersmorgan This is what the death penalty is for dummy
131,,,@Edie0326 DEATH PENALTY!!!!!!!!!!!!
132,,In The Woods of TX,@harpcomposer @Thomas1774Paine @Warx2TheMovie Life w/o parole. He deserves death penalty.
133,,Tennessee,"@piersmorgan There are exceptions, but death penalty is usually reserved for the most heinous crimes. This crime easily meets that criteria"
134,,"Orange County, California, USA",@ComstockNEWS @FOX40 They deserve death penalty if guilty.
135,,"Slough,UK,the Universe ",@piersmorgan Like you I oppose the death penalty however for this creature I’m happy to push a button or pull a lever.
136,,,@LBC I'll bet any UK Gov't daren't have a referendum on imposing the Death Penalty. Would 52 to 48% majority be enough?
137,,,@Franklin_Graham More like the death penalty
138,,,@CBSSacramento He deserves the death penalty😠😠
139,,California,"@piersmorgan Then you DO support the death penalty, you just set different qualifications."
140,,,people who support the death penalty are so fucking stupid. sorry i just had to share.
141,,I'm Everywhere! ,@piersmorgan That's why we support the death penalty because we don't like flip flopping
142,,Charlotte,"@TenikkaANjax @ActionNewsJax @WOKVNews @CBSNews @FoxNews @AP Thank God, death penalty would be fitting."
143,,Austin,I want to move to a country where playing Toto gets you the death penalty.
144,,In The Woods of TX,"@Thomas1774Paine He’s too young, for only, 40 years. Life was more appropriat, if not death penalty."
145,,,@havenhermosa @GTHREEEEEE Idc the homie put effort into that she deserves the death penalty
146,,ouagadougou,@LBC Death penalty
147,,"Krasnovia, USA","@piersmorgan I support the death penalty for many crimes, doesn’t even have to be murder"
148,,,@MardenSteele @nationalpost There is no death penalty in Canada
149,,,@TheBorumForum @FoxNews Death Penalty there’s no reason for us the spend our tax dollars keeping this low life alive.
150,,"Austin, TX",@JackPosobiec He framed himself? If so he is guilty of a stupidity so profound he deserves the death penalty.
151,,"Stockholm, Sweden",@piersmorgan So you do support the Death penalty!
152,,,"me n my pirate gf: (holdin hands)
me: bby ur hands r so cold
merlwyb: Those are my pistols Death Penalty and Annihilator"
153,,Coming up for air,@piersmorgan Er ... then you do support the death penalty 😒
154,,"Portland,Or","@piersmorgan So, You DO support the death penalty. Thank You✌️"
155,,England,@piersmorgan Nothing wrong with the death penalty. Scum like this deserve it
156,,"England, United Kingdom",@piersmorgan Says he opposes the death penalty. Changes his stance in literally the next sentence.
157,,,@DailyMail He deserves the death penalty
158,,South Central Kentucky,@CrimeWatchDaily He should receive the death penalty!  Or have to wear a tattoo in prison showing that he is a child murderer/rapist!
159,,UK,@piersmorgan Remember when Trump wanted the death penalty for 5 innocent black men after DNA exonerated them?
160,,,@karunanundy Can we have compounding of sentence such that he ends up getting a 100yr  life sentence without parole instead of death penalty
161,,"Estacada, OR",We’re picking our topics for a poltical issue project in Gov &amp; i swear to god haley said “ the Death Star “ instead of the death penalty
162,,United States,"@piersmorgan The death penalty should be supported, as each day lawlessness gains the upper hand."
163,,"College Station, TX",The death penalty is ridiculously stupid and disgusting. Why is it still a thing?
164,,milky way galaxy ,@AlexSavidgeKTVU @KTVU smh why open fire on a person running away? domestic dispute warrants death penalty?
165,,"Rayleigh, East","@piersmorgan Piers, you can’t be against the death penalty then make exceptions! Surely, the way is to legislate for those exceptions?"
166,,"Merton, London",you can't not support the death penalty except for really nasty crimes - that's still supporting the death penalty
167,,"London, England",@piersmorgan You either support the death penalty or you don't. Worst crimes have been committed in history
168,,United States,@piersmorgan So you do support the death penalty
169,,"Edinburgh, Scotland",@piersmorgan That's an argument for the death penalty.
170,,"California, USA",@piersmorgan It’s for monsters like this why we HAVE the death penalty and it should never be done away with
171,,Northern Ireland,@piersmorgan In other words you support the death penalty.
172,,,@LizCrokin @PGHowie2 QUICK TRIALS. DEATH PENALTY.
173,,"Tottenham, London",@piersmorgan So you do support the death penalty?
174,,"Belfast ,N.Ireland",@piersmorgan This is why the UK needs the death penalty back in place
175,,United States,@piersmorgan Anything dealing with a crime like this against a child I'm all for the death penalty
176,,Banbridge,@piersmorgan So you do support the death penalty? Strange tweet
177,,,@piersmorgan so you do support the death penalty then
178,,,@puppycat2u @Julesywooooolsy @TRobinsonNewEra It's time to bring back the death penalty.
179,,,@WJXTJenese He needs the death penalty and nothing less.
180,,South,Is the penalty for Treason still death by hanging?
181,,"Columbus, Ohio",@AllyKraemer @WCPO Expanded use of the death penalty for crimes such as rape or child molestation would help solve this problem.
182,,Florida,#donaldsmith needs the Death Penalty and NO appeals.  He should go straight to the Death Chamber.  He is the lowest of the lowest.
183,,"Pennsylvania, USA",@DurstMelody They are pigs and I have 2 words - DEATH PENALTY. Televised for all their cretin pals to see. NO #DACA #NoIllegals
184,,,Killing a cop should be auto death penalty
185,,FLORIDA,"@FCN2go Give him the death,penalty!"
186,,,"@treasonstickers Deport to Russia, imprison or death penalty."
187,,,@heathiebird03 Just now saw the guilty verdicts in less than 15 minutes.  I’d bet he will get the death penalty and rightly so.
188,,Canada,"@BenSharmaTO If we're going to have a death penalty for anything, high treason would seem to qualify."
189,,BORN ON CRISPINS DAY,"@PaulMer45790900 agree ,no way can they come back unless we reintroduce a mandatory death penalty before they do"
190,,,"@FCN2go Slow, painful, and most excruciating death penalty for that piece of shit!"
191,,"Jacksonville, Florida",Thank goodness!! Now we just need the death penalty 🙌🏻  #JusticeForCherish
192,,The White House,@LetishaANjax Poster child for DEATH PENALTY!
193,,United States,@TrumpsBlonde @ConservaMomUSA Prayers for his family and swift death penalty for his killer
194,,,@TarekFatah @colsworld55 Death penalty there's really no alternative is there ?
195,,"Jacksonville, FL",This same jury will decide will decide if #DonaldSmith gets the death penalty. @FCN2go
196,,💚,I legit have the entire Romeo and Juliet play in one tab and then an article about the death penalty in another... some essay I'm writing
197,,,"@OchoFisho They tried it because Smith did NOT want the death penalty. And , rightly so, the State did!!! It's really that simple..."
198,,"Los Angeles, CA USA",Will #DonaldSmith get the death penalty??
199,,"Meridianville, AL",@FoxNews Everyone knows humor is forbidden in communist countries. Penalty is death.
200,,,@KTLA Death penalty!
201,,,"@abc7newsbayarea She is lovely, they are barbarians. Death penalty for both of them."
202,,,@lintonfisher The death penalty awaits
203,,,@TimLws @DRUDGE_REPORT You think the death penalty is in order for letting the flag touch the ground?
204,,"Hannover, Germany",@talk1776 @willripleyCNN Laugh at KJU? Death penalty awaits in NK.
205,,United States,The #NCAA needs to get the death penalty. Enough of this nonsense.
206,,Britannia,@Holbornlolz Should've been death penalty
207,,Charm City!,"@ACSOSheriffs Sadly, in Cali she and her family will not get justice. Nothing less than the death penalty is acceptable. Obvious murder 1."
208,,"Montreal, QC, Canada","@AshineB @4everNeverTrump They're making me rethink my opposition to the death penalty. Crimes against humanity, not ""just"" treason..."
209,,#1 on your MySpace Top 8,"@fantasy_spy Nope. By penalty of death, im out all February. I’ll be back"
210,,,@schindy @FCN2go It is a death penalty case. Therefore he cannot legally plead guilty. There MUST be a trial where he is represented.
211,,"Washington, DC",I want to go home now. I was put in the position of going all the way to your death penalty.
212,,"Maryland, USA",@PolNewsupdates @OrwellNGoode The death penalty isn’t harsh enough.
213,,,@karlakaxandra what was the death penalty to the 3 of them tweet about...it got deleted
214,,"London, England",@metpoliceuk Death penalty is needed
215,,United Kingdom,@LBC Bring back the death penalty
216,,"Chhatarpur, New Delhi",@CIJ_ICJ  I will keep going to Vhp Media Center.punish Animals along with their lawyers must be given death penalty.
217,,"Florida, USA",#CherishPerrywinkle Unfortunately Fl takes years to impose the Death Penalty.
218,,"Jacksonville Beach, FL","Smith being put under oath, there was  a mistake in jury instruction under old death penalty rules. @ActionNewsJax"
219,,Nottingham,"@TrumpsBlonde Got to be the death penalty, such sad news RIP Commander"
220,,United Kingdom,"@LBC Let them go on trial in the middle east, they have the death penalty over there"
221,,,@Lionheart0075 @andibeth012 @realDonaldTrump They all deserve the death penalty for the evil they have done and are continuing to do.
222,,,@pavulous @cspanwj I think we need the death penalty for those who cross he border illegally after being deported.
223,, IN,"...REINSTATE death penalty for TREASON AND SEDITION! Arrest, Prosecute, Convict and EXECUTE by firing sqaud! Start with HUSEIN OBAMA!"
224,,,"@Kotj_Defence1 @OldSchoolRS G maul isn’t the problem deep wildly targs and death penalty’s, with a lack of loot in the 50-75 bracket is."
225,,,"Reporter: ""Do you believe there should be a death penalty?""

Charles Manson: ""I believe what I'm told to don't you?"""
226,,Tennessee,@Cam_Geary God Bless him and the family  the man that did the shooting  I hole he get the death penalty  Now today
227,,south jersey,@OANN @4AllSoulKind How about the death penalty for him
228,,United States,@foxandfriends Death penalty
229,,,"From penalty, because from death released"
230,,Newton NC,Closing arguments are underway in the #DonaldSmith death penalty trial Justice for #CherishPerrywinkle is coming
231,,,@PGHowie2 QUICK TRIALS. DEATH PENALTY.
232,,Stay Calm. Think Dillinger.,Spent an hour last night reading about Jason Swift. Just bring back the death penalty.
233,,The Wasteland,Yes to death penalty yawa tangina fuck the humanitarians
234,,India,"Will Lordships deem the taking  of 165 Indian lives as ""rarest of rare"" and give the death penalty?#ArizKhan"
235,,"Jacksonville, FL",Donald Smith is so disgusting. he deserves the death penalty.
236,,University of Houston - ΠΚΑ,Short people that request the exit row on planes deserve the death penalty
237,,"Hyderabad, India",@neo_pac @DelhiPolice @SwatiJaiHind @PreetiSMenon @LambaAlka @aartic02 @500Urvashi @Rita_Banerji @CoutinhoMaclean Death penalty is too much
238,,"Brooklyn, NYC",@ShaunKing This is a great example of why I can't be down with the death penalty.
239,,Port Huron,@FOX2News Should be death penalty
240,,United States,@bridgetteANjax @jennaANjax @ActionNewsJax This guy is a piece of shit! Needs to get death penalty!
241,,皆さんの心象風景,Yes! You and you and you are death penalty! You and you and you are death by hanging!You and you and you are goodbye! Execution!
242,,United States,@people Death penalty
243,,,@BreitbartNews Bring back the death penalty.
244,,,"this girl literally just said
 “is the death penalty when you have life in prison?”
 I wanna choke."
245,,"Manchester, England",@ivoranthony2 Death penalty is required for scum like this. No second chances. Put him to sleep and burn him.
246,,,Death penalty
247,,,@wave105radio Only death penalty will suffice.
248,,,He was going to get Kira the death penalty and now.. He’s dead? Is that what you’re telling me!?
249,,New Jersey and Florida ,@ALilJaded4u2 He should of been given the death penalty.
250,,,"@mcdonald0165 @foxandfriends @TomiLahren Death penalty for shooting black defenseless man in the back like a coward, cop or no cop"
251,,,@ainsleyearhardt @foxandfriends Need to make it a federal crime and mandatory death penalty for murdering a police officer #MAGA
252,,,@foxandfriends @TomiLahren Need to make it a federal crime and mandatory death penalty for murdering a police officer. #MAGA
253,,Canada,@CaNettoyant @Barri_Ann @mcfw1999 @JustinTrudeau The penalty for risky violent behaviour is sometimes death.
254,,Australia,@ValiantPatty you deserve the death penalty for faking clips
255,,"Maplewood, MN","Diribe Itana from death penalty to walking free! 
Welcome home. 
#OromoRevolution 
#FreeThemAll"
256,,"Vandalia, OH","@foxandfriends Ok, after three deportations the next step should be the death penalty"
257,,,"I say lock up the bad guys and arrest them and or give them the death penalty stop letting them kill, steal, hurt &amp; starve innocent souls!🐆🐯"
258,,"La Marque, TX",@t193931 He needs the death penalty
259,,"New Jersey, USA",@StandingDarrell Time to pass legislation with death penalty for police killers
260,,Dead Coast of South Florida,@killabeas69 @FoxNews Death penalty case! He’s what I’d call a drug-kingpin👌
261,,,"@celticpowers @GIJoeOPS This MUST be elevated to Death Penalty status, if only for these stinking Libturds!"
262,,,@FoxNews Should have been given the death penalty.
263,,,"@IWillRedPillYou @PGHowie2 1 year in prison, then the death penalty."
264,,Along the Prime Meridian,I shed a tear when I read the thread. How can people be monstrous to kids? Pedophilia is a crime worthy of the death penalty in my opinion.
265,,"Jefferson City, MO",@IngrahamAngle @Suntimes Epidemic if killing men in blue- death penalty cases all of them - which speedy trials
266,,,When do we say it's time to bring back the Death Penalty for those who kill our Men and Woman in Blue ? Tired of waking to see another dead!
267,,johannesburg,@AsktheChiefJMPD @HermanMashaba Bring back the death penalty!!
268,,,"@foxandfriends He should have gotten the death penalty. Taxpayers are sick of paying for these creep's food, water and housing!"
269,,Milwaukee,@DPRK_News The penalty for all offenses in Uhnterland is death!
270,,,@foxandfriends Death Penalty!
271,,South London,Anyone Wanting to wish Tottenham well in Europe or any other club deserves the death penalty
272,,,@ACSOSheriffs Death penalty with a bullet.
273,,USA,@foxandfriends Automatic death penalty.
274,,JUSTICE 🐇,@IWillRedPillYou Death penalty!
275,,#sυƍοίƒαмs |darkstreet7 shinra,"Ultimate Weapon:Death Penalty
Occupation:Unemployed
Birthplace:Unknown 
Date of Birth:October 13, 1950 #bot"
276,,Virgo Supercluster,@ANI Death penalty? 🤔
277,,england,"@guardian The uk has always been divided 

Half love monarchy
Half hate the eu
Half want the death penalty
Half want less immigrants"
278,,,Attempted murder needs to be rewarded with the death penalty. Fuck that.
279,,Relocated,@its_ayo1 @Babygiwa Death penalty please
280,,"East Islip, NY",@LizCho7 Life Sentence..... really. Bring back the Death Penalty.
281,,"Johannesburg, South Africa","@AsktheChiefJMPD @HermanMashaba Condolences to the officers loved ones.
The death penalty needs to be reinstated!!"
282,,India,"Swati Jai Hind and group of youngsters write their demamds for Death Penalty for Rapists 
#RapeRoko"
283,,"Florida, USA",@FoxNews What a waste of taxpayers money. The perfect example for the use of the death penalty.
284,,,@IWillRedPillYou @AllIn4DJT Death penalty for them!!!
285,,,@FoxNews If convicted death penalty for cop killing.
286,,"London, England",@PaulMer45790900 @boblister_poole I say let them be tried in Syria and get the death penalty!....simple
287,,"ÜT: 42.6426774,18.1136361",@ncham65 And then bring back the death penalty for everyone over the age of 52. Good system!
288,,"Illinois, United States of America💗",@chuckwoolery Murder 1! Death penalty should be the result.
289,,"Minneapolis, MN",@ExistentialEnso When did we all start supporting the death penalty anyways
290,,Wales,"@0Calamity Yeah.  The death penalty, back street abortions.  Winston Churchill..."
291,,UK,"@pollypreston In an American State, that has the Death Penalty."
292,,♡kjh♡ || he/him ,maybe instead of the death penalty we should make ppl watch the emoji movie on repeat for 24 hours or more
293,,,@PoliceHour Evil. Bring back the death penalty for killers.
294,,"Ames, Iowa",@desmoinesdem Holt just learned the death penalty is costlier than life in prison? That's been common knowledge for ages.
295,,Wherever news breaks (Global),Aussie drug accused could still face death penalty in Bali...
296,, South  Boston,@RealJamesWoods If President Trump was against the Death penalty liberals would all of a sudden be for the Death penalty.
297,,,@THETXEMBASY @FoxNews This is scary. Too many police are dying.  They need to protect our protection!  Death penalty for murder!
298,,"England, United Kingdom",@IWillRedPillYou As my husband says...the death penalty is TOO NICE!! He should have the same done to him and worse for life.
299,,Great Yarmouth,@realwoodyuk @JoshCannon99 @SkyNewsBreak I agree. The system should be reformed and the death penalty brought back.
300,,the shadows.,"@Think_Blue_Sky @LBC @MaajidNawaz It would be a good reason to bring back the death penalty, the uk has become soft."
301,,Watching You,@SkyNews At best they should be put on trial in a place where the Death Penalty is an option ⚰️
302,,"Brisbane, Queensland",@QSArchives @brisbanetimes @eastTMoore So barbaric.  I am glad we have abolished the death penalty.
303,,in the swamp somewhere!,@deplorkibble @veteranhank When she's in prison facing the death penalty for treason we will get over it
304,,Colorado ,@LauraLoomer Why should tax payers pay for him to stay alive in prison? Why no death penalty?
305,,The Seven Kingdoms..,The penalty for rape should be death or a life sentence.. Such people are a threat to Society.
306,,"Kenosha, WI",@realDonaldTrump 2 many of our Cops R being killed. Let’s bring the Death Penalty 4 Cop killers!!!!! #Trump2020!!!!!!
307,,,"@SkyNews No, I don’t really advocate the death penalty, but in some cases a lethal injection would be necessary."
308,,islamabad,@9930qwe @Razarumi In Quran death penalty is punishment of Zina .
309,,Accra,Ebony een death Dey pain but eno Dey pass Asamoah Gyan ennn penalty miss. That thing was heart breaking 😪
310,,Australia,@channeltennews Bring back the death penalty
311,,"Fort Worth, TX",Remember This Russia and Trump Obstruction stuff carry's the death penalty this is not normal Obstruction it's more !
312,,Everywhere you wanna be ,“on trial for the rape and murder of an 8 year old” and this is why we have the death penalty
313,,N 53°57' 0'' / W 1°5' 0'',"@DannyWright174 @SkyNewsBreak The death penalty is NEVER, ever, a good idea..."
314,,1725 Slough Avenue,"@phskypilot @FoxNews @shaunwhite @RyanGaydos Yea, he should be given the death penalty."
315,,"Manchester, England",@MartinDaubney @skysarahjane @SkyNews only 40% so surprised should be 100%. Trial in Syria no messing then death penalty.dont waste money
316,,,@TxMsLee Make sure that the punishment are castration and the death penalty
317,,United States CA ,@MRR1776 Yes I do. Where is the death penalty?
318,,"West Dulwich,London",@69mib @RedHotSquirrel Let them be tried where they murdered innocents. The death penalty ant tell them they will be fed to pigs.
319,,,@RT_com Wouldn't like them to be adjudicating on a case that carries the death penalty
320,,"Seoul, Republic of Korea","@PLAYMFS Death penalty, home schooling vs formal schooling"
