,label,location,tweet_text
32,,"Louisiana, USA",@allahpundit Gun rights are just one small part of NRA's new role as standard bearer for Team Libtears.
33,,,I would rather have gun rights than globlization.
34,,Political Wilderness,"@LonePatFan1 It gives their opponents all the ammo they need to portray gun rights advocates as unhinged, paranoid lunatics."
35,,"Scotland, United Kingdom",@Epic_Boss_Lady Ikr it's like saying you nearly died of gunshots and supporting gun rights cause thick skin.
36,,"#BillsMafia, P.R.O.N.Y.","@NRATV Stick to gun rights. Sincerely, a Life Member"
37,,"Sacramento, CA",@KTLAMorningNews Looks like gun control isn't working so you should just give us are rights back
38,,,"@DonaldJesusTrum @Gonzalez_MarkA @_Heineman_ @Breaking911 Dems also support gun rights, you point is irrelevant."
39,,,@CK13697976 @glenn_wofford @DLoesch Go for it. You'll actually force them to fight for gun rights that way. It's not a bad strategy. 😂😂
40,,EVERYWHERE AND NO WHERE,Are gun rights woman's rights?
41,,All over the USA,@BrookeBCNN @realDonaldTrump Shame on Americans that we put the rights of gun companies and the NRA over everyday citizens
42,,Some farm in Illinois,@nightflurry Oof. Honestly reminds me of the Bill of Rights gun from FMK.
43,,,I'm all for gun rights. I don't understand how this ad campaign advances them.
44,,,@PhilErnstes1 @jrubottom @CoreyLMJones @realDonaldTrump and how much does your gun rights cost taxpayers every year? stfu
45,,Political Wilderness,"@mmfa And this protects gun rights, how, exactly?"
46,,"New York, USA","@allahpundit Gun rights aren't ""in danger"" so they gotta keep the base scared of somebody."
47,,My castle!,@allahpundit Gun rights are permanent know that orange Jesus is in office
48,,Australia,Thanks Gun Rights #2A for the follow! I´m very happy about it.
49,,,"@cjane87 It is an expression of frustration with the media, which do not support gun rights, they are the largest proponents of gun control."
50,,Great State of Texas,@cjane87 almost like the NRA isn’t about gun rights but instead convincing whites to fight BS culture wars
51,,"Miami, Fla. • Mérida, Yucatán","@BlanksSlate Given that “POC” vote against gun rights by about 7 to 1, this seems like a mathematically sound approach by the @NRA."
52,,Cascadia ,"Maybe I'm just missing the connection here, but sledge hammer to a tv = gun rights because..."
53,,Glasgow,@mmfa No macho gun rights supporter would have that small a television. I'm guessing he bought it just for this stunt.
54,,,"Everyday you wake up, thank God we live in a country that has Gun Rights as our birth rights."
55,,,"And her reasoning are 100% in line with the Democrats childlike reasoning: gun rights - racism, immigration - racism.  Perfect 👌🏻"
56,,,@LLVJEN @BorreChristian @60Minutes Don’t waste your time talking to extremists who support nonsense gun rights with zero regulation
57,,"China Grove, NC","I’m not here to take away your gun rights, but I’m not gonna put a gun in a criminals hands either."
58,,,"@sushantsareen @TheJaggi There is a difference between an Islamist who takes up the gun, and the Islamist who has an idea of human rights."
59,,Ilu Ogunmola ,"""My man dem a fight for dem rights like Nelson Mandela/my man dem a gun dem a rise up like antenna"" - Burna Boy"
60,,"California, USA","@KTLA Leave our guns alone, we already have a state government that wants to take our gun rights away #NoNewsom"
61,,"New York, NY",@abouttheburgh @NRA @NYDailyNews Civil rights advocates my ass.  Lobbyists for gun manufacturers and now Russia.
62,,"Lawrenceville, GA",@nytimes And the country continue to support gun rights
63,,"Brushy Creek, TX",@DLoesch The NRA is a joke. Anyone who thinks that organization protects gun rights is one gullible individual.
64,,"Tampa, FL & Lincoln, RI","@WalshFreedom Yeah here we go, GUN rights. Do you guys want to stop school shootings at all?"
65,,"Townsend, WI",@JoeNBC Gun rights and impeachment are the third rail.
66,,,Reuters just announced plans to restrict gun rights.
67,,"Vancouver, British Columbia",@DarleneTDuncan @GoodSgt @rscooper152 @polls_canadian They should move to south with unrestricted gun rights and unaffordable Medicare lol
68,,,@_Original_VibeZ Will and getting loot because he don't help you in gun rights
69,,Northwest Arkansas,@icebergdad @60Minutes @CBSNews Can we get a double deal here? Protect both abortion and gun rights nationwide?
70,,,@FourthCastle @larue5222 @alienpatriot79 @CallMeSquiggly @krassenstein And people like this call defenders of gun rights paranoid...
71,,"California, USA",@60Minutes #2A got it stop listening to the Liberals that want to take away your gun rights than your freedom of speech
72,,"Edgewater, FL","@jerseygirl2you @LdyMars Still trying to control our gun rights, guess what libturds, we also load our own!!"
73,,"Alabama, USA","@AmmoLand That's right, and we all need to remember that come elections. Take away our gun rights and there goes the 1st"
74,,,@bryanjmicheals @DLoesch I’ve been a member for decades and seen nothin but my gun rights erode.@NRA
75,,,"@NYDKFL And.....you gun haters never get it. The reason for the 2nd amendment is to protect ALL your other rights! 
#readabook"
76,,"Chattanooga, TN",@CTFP I am glad a home owner stood for gun rights to protect her home and self.
77,,United States,"@60Minutes What a about Resisters, people of color and BLM’s rights to carry?? If we did, the Man would vote on Emergency gun control."
78,,"Houston, TX","I am 4 gun control as long as you are for gun rights; than I am back 2 gun rights.

#patriotism #guncontrol #gunrights #Lifetime #selfhelp"
79,,,"Make sure to see @USCCA @TimUSCCA @seanhannity @FoxNews @GOP on 60 minutes tonight, fighting for our gun rights!"
80,,"Colorado, USA","Wait, the States Rights/Local Governance party is saying we should do what with gun laws?"
81,,"Georgetown, TX","@TruthfulRetiree @60Minutes Love it, keep the emotional based remarks coming, it only helps gun rights."
82,,,Why is the word militia and what it means always eliminated from the gun rights argument? JustAsking
83,,,"@60Minutes Snowflakes for ""states rights""....wow!!..how convenient!....the people with gun permits are not the criminals!"
84,,USA,Saw @RepRichHudson on 60 minutes defending gun rights. He makes all of us proud!
85,,nyc,Lol @ states rights advocates who support the gun reciprocity bill.
86,,illinois,@CheriBustos STAND FOR STATES RIGHTS ON GUN LAWS
87,,illinois,@ChuckGrassley STAND UP FOR STATES RIGHTS ON GUN LAWS
88,,illinois,@SenSchumer STAND FOR STATES RIGHTS ON GUN LAWS
89,,,"@SwiftPatroitism Gun control is not removing your rights, it even says “well regulated” in the second amendment."
90,,"Dallas,Tx",@Gun_Shots Couldn't agree more..always ready to stand for our rights .One nation Under God
91,,"Evanston, Wyoming","@harveyjkaye Which rights, gun ownership or religious freedom?"
92,,United States,"It's every bit as hypocritical as #antiwar advocates who favor gun ownership rights. Who the fuck makes the bullets, zen monks?"
93,,Northwest Arkansas,"@justicedems If you won't drop gun control from your platform, you doom yourselves to losing. Most states don't want to violate gun rights."
94,,"Carson City, NV","@Gravevixen ""I hate liberals because Pants have rights, but I can't shoot my gun in a Walmart, it's ridiculous."""
95,,,"@TheMarkPantano @SenJeffWoodburn In the Live Free state, don't take away gun operator access from the disabled. Ability=independence #rights"
96,,,"@Dstroyr_U2b They lost me at ""I'm a gun owning democrat that supports the 2A, but"". It's easy for them to give up my rights."
97,,,@jordie_ray @longgone2345 Because Democrats love that he has complete control over his people. There are no gun rights or free speech laws.
98,,,*cries cause I can't look up gun trivia without finding pretty much all of it on sites run by gun rights activists*
99,,"Miami, Fla. • Mérida, Yucatán","@DavidOAtkins Should illegal immigrants have gun rights, too?"
100,,tri-state area,"Real men don't fear equality, lgbt rights poc or immigrants and we damn sure don't need a gun to go buy a sandwich"
101,,United States,"@ArtQuijada @PatriotNotPol And don't forget: Hitler, Stalin, Mao, Maduro all took gun rights away from citizens. Look how well that went"
102,,Colorado,"“Gun rights are in the Constitution, or as I like to call it, a long list of white guy perks”😂😂😂"
103,,"Los Angeles, CA",our gun rights are the bill of rights..do not try and take our rights away..... it is a Constitutional rights...dont f with it...
104,,"Florida, USA",@VCDL_ORG @marcussimon @NRA @VA_Gun_Rights @vahousegop Love you man.
105,,"Pasadena,Maryland","@queenhollyfay NRA, aren't for gun rights, sell outs."
106,,,"@Claire_Voltaire I'm pro-gun rights, but that includes the right not to own a gun."
107,,"Alabaster, AL",@billtmoretoo @CNN Is that why he’s increasing our financial freedom and gun rights. So tyrannical of him
108,,FEMA Region IV,"@muscadyne @teamtrace Often enough, when it comes to gun rights, they don’t."
109,,behind you,@RightOpinionYT Children's right to drugs is an important issue...but what about their gun rights?
110,,in the menchies,"@inthesedeserts @ByYourLogic [planting a toy gun with ‘ties to ussr’ scratched out and ‘human rights abuses’ written on it,,,"
111,,"Chicago-land, IL",@AP @NRA applauds the stopping of big government intrusion into Gun Owners Rights.
112,,,"@RealJamesWoods @POTUS @realDonaldTrump Hang onto your gun rights, you will need them....."
113,,USA,"If you believe in the right to life, then you must believe in the right to have the means to defend that life. gun rights"
114,,"Berkeley, CA",The second story is about a state legislator who pulled a bill to protect students from being shot because it pissed off gun rights groups.
115,,"Dallas, TX","@k3vk4 @Hatewatch @MatriarchAthena I’m not talking about gun rights specifically, but overall rights."
116,,BFE,Read me my rights
117,,DC - Philly,Interesting panel on “Gun Rights v. Gun Control” at #Sadie2018 with federal prosecutor &amp; VP of AA gun association
118,,Saint Louis vs Everybody.,Even with a legal gun and Paper work your weapon ain’t legal. There are no real rights for POC under this system. Just the illusion of such.
119,,"New Hampshire, USA",@NRATV @NRA @DLoesch Thank you @DLoesch for being a wonderful spokesperson for the NRA and everything you do for gun rights
120,,,Kenya? We need an honest conversation on Gun Rights and Prenuptial Agreements. #MyRightMyFreedom
121,,"CHICAGO,USA",@LindaKWS1 Take away what rights lol. I see all the gun control propaganda has stopped all of a sudden. #NoDeals #FightForAmerica
122,,The Good 'Ole US of A,@jasimanski @666wearelegion @Hatewatch What? Gun rights are not an attitude. It is a constitutional right
123,,"Iowa, USA",@666wearelegion @Hatewatch @MarcExec Gun rights is not inherent.  It is an attitude which can be changed.
124,,,@SUPicket  yes for personal rights of hunting but gun stays locked up in security office Hunter has to check it out and back in no other way
125,,None of your damned business,@AndyHortin18 I wish Citizens in Japan had gun rights
126,,,The failing @nytimes just announced plans to restrict gun rights.
127,,Somewhere Out There.,"@kabry27 @krassenstein Do your ""common sense"" gun laws infringe upon the rights of others?"
128,,East of Chicago's Gun Crime,@marcussimon @NRA @VCDL_ORG @VA_Gun_Rights @vahousegop Similar bills stalled in Indiana and Michigan also.
129,,,@krassenstein How do expect people to believe you support any gun rights if you are so poorly educated about guns?
130,,Norway,@AtheistRepublic Not really. Supporting gun rights isn't worshipping them.
131,,,@krassenstein Regular citizens have no business with military weapons.  Victims don't have rights. Protect our citizens from gun nuts.
132,,Highlands Ranch CO,@MrColionNoir Gun rights like all of our rights are supposed to be color blind.
133,,"Wisconsin, USA",@capgaznow Keep fighting Gun Rights Advocates!
134,,DC🚁,@Stormguardist Are you not grateful for the right’s Absolute obsession with gun rights? It’s the only thing they’ve ever conserved
135,,,"@BradySeanA As a fellow Californian, thank you for working to defend my gun rights."
136,,"North Carolina, USA","Join the NRA today, they are the ones fighting for your gun rights here at home. We need your help join today !"
137,,"Sioux City, IA",@funnyhaha444 @SteveKingIA @Scholten4Iowa What’s his view on migration? Daca? Gun rights?
138,,"Chicago, IL","@david_j_roth @boring_as_heck Kid heard about ""gun rights"" thought they were talking about ""gum rights"" and it changed his life"
139,,,I will ALWAYS bring a gun to a knife fight when it comes to peoples rights and livelihood.
140,,,"If you are black go get your gun license.
Just do it.
Even if you don’t buy gun.
Exercise your rights."
141,,"maybe in Gonzales, LA","I'm at River Parishes Community College in Gonzales, we need better gun rights?"
142,,"Burnin Zana, Wakanda",@radleybalko Gun rights in America have always been implicitly gun rights for white Americans only.
143,,"New York, NY","I mean if you don't believe that man gives rights, only God then let's just get some of that gun control in here"
144,,Cascadia ,"To others, it seems to be a purity test on specific issues, abortion, gun rights, immigration, etc."
145,,,"@Johnlee333333 @TheDisrespectre No, it remains free because white people are pro gun rights.

Non-whites vote for gun control."
146,,"maybe in Gonzales, LA","Kentucky lost :( but that was enough to call it is better, safer gun rights."
147,,"Georgia, USA",@YouTube IS CENSORING ALL VIDEOS WITH CONSERVATIVE VEIWS LIKE GUN RIGHTS FOR WOMEN BUT THE HALF NUDE 12 YEAR OLD TWERKING VIDEO IS OK
148,,"Minneapolis, MN","@shannonrwatts If your child commits gun violence, say bye bye to all your guns and gun rights forever"
149,,"Florida, USA",@tgradous @DailySignal Women already have gun rights my lord.
150,,,"Obama Says Goodbye to Gun Owners, Due Process Rights of SSA Recipients."
151,,"Embassy of Ecuador, London","@bareknucklelove @Reuters Gun rights, yes. The business of guns, apparently not so much."
152,,,@kremlinsfiddle @Reuters Good for gun rights. After bush and obama we already have all the guns. Now we keep them.
153,,Boca Raton Fl,@JohnRLottJr Im no fan of French goverment particularly on gun rights —-are you?
154,,Peromyscus Republic of Orlando,@VixenRogue It’s gun rights in my household. But you get the idea.
155,,"Arizona, USA",@TimothyJPadilla Heller case states gun rights are not unlimited
156,,,@Canuck_Faithful Dowd and a 4th for the rights to UFA Prust
157,,,@ChristopherVDMA im very pro gun rights
158,,covina,@3rdGenVeteran @Redgmac @mskifyanasty @TomiLahren @RealMattCouch Who ever has the gun rights wins.👍🏻
159,,,@Jeredtherealtor @Ivancalkins @officialmcafee I’m all about gun rights but this guy a crazy murdering bastard
160,,"Ottawa,ON","#NowPlaying @ 20:10:28 ET: ""Gun Rights"" by Electric Six from ""Human Zoo"" (2014)"
161,,,@baseballcrank or gun rights or even God help us climate change
162,,"Colorado, USA",@TheBabyGorilla Did you know the NRA use to be for sensible gun rights?
163,,,"@sunriseon7 Next thing she will want to carry a GUN because its her human rights, what hogwash follow the court rulings."
164,,"Baltimore, MD",Everyone talks about gun rights but what about gun wrongs?
165,,"Virginia, USA",@davidjtrone And their gun rights too?
166,,United States,@HeadtoHeadRadio I am all about guns and gun rights. But arenas and stadiums are no place to have them.
167,,,@SebGorka Laugh for the week. But he likes to sell guns maybe he can help get our gun rights.
168,,"Columbus, OH","@FoxNews If liberals believed in gun rights, she could have at least killed the thing more humanly."
169,,United States,@GhamGraham I’m not concerned with yours or their actions I’m concerned with a discussion about gun rights.
170,,New England (trying to escape),@thesnarkygent @peabodypress The NRA is only about gun rights when it makes them look good in the press.
171,,"maybe in Gonzales, LA","Everything is better, safer gun rights."
172,,"Washington, DC/NoVA",@sheldongilbert I'm so #old I remember when the NRA tweeted about gun rights.
173,,"Chicago, Illinois","@FoxNews @POTUS Human Rights,"
174,,The Republic of Texas ,"@christellar ...which is anti civil rights, anti constitution, anti due process and anti gun."
175,,"maybe in Gonzales, LA",Because I have to occur before the right wing nut jobs understand that we need better gun rights?
176,,,@watspn1013 @SenFeinstein  this is how a woman protects herself and her daughter. This is why we have  gun rights. Please retire.
177,,Ssssssssssss I'm a snake,@jonlovett yeah fascists are huge on personal civilian gun ownership rights. Learn some history you dipshit.
178,,,@clinic53 They’ve gotten away from simplest protecting gun rights
179,,United States,"@Slate If they are given back their gun rights, why not their voting rights?"
180,,Lagos,"@kelliwardaz @TomiLahren Lmao!  Ask yourself and be honest, how many more have to die at the hands of gun  rights activists"
181,,"Burbank, CA","@bostonrandy @ChrisLoesch @DECooper2 @JeremiahRappel @And_Thats_Why_ @mmfa This is my lane.
I'm a gun rights expert.
Welcome to my turf."
182,,Tennessee,@gunpolicy Joe Biden shotguns are fine got several but hand gun easy to conceal our rights Joe!!
183,,,"@NRATV This is so freaking stupid.
NRA please stop with this. Focus on gun rights."
184,,your mind,"Where ""gun rights"" are cool unless you're speaking out at the same physics midterm what a time to be alive"
185,,"Madison, IN",@NRATV What does this have to do with gun rights?  Poor folks spend their hard earned money for this dumb shit???
186,,Compton 90221 where da cash at,@P4oe__ Im glad they didnt take my gun rights away either lol
187,,America,@ClarkHat It's either that or arguing to take away my gun rights.
188,,,Jump the marriage gun I suppose. But hey the welfare pulls your mortgage to evaluate electric rights.
189,,Somewhere Out There.,"@DLoesch You are a gun owner and protect the rights of other gun owners so, ipso facto, fascist."
190,,,@secupp Fast and Furious was GOP gun rights deflection. The rest sounds like a normal day in the GOP caucus.
191,,"Taco City, TX",@NRATV Remember when you guys pretended to just be a gun rights organization?
192,,"Ypsilanti, MI","@AtticusGF Will somebody please start a sane gun rights group?  

Blue dog dems, now's your chance to fill a void."
193,,"San Diego, CA","@NRATV What does this have to do with the 2nd amendment? 

How does it advance the cause of gun rights?"
194,,United States,@AlexanderZeBoom Do you have gun rights there?
195,,United States,@NRA It would be nice to see you guys fight tooth and nail for gun rights instead of bowing to the left #BumpStock never give them an inch
196,,,@mmfa WTF this has to do with gun rights is not immediately clear.
197,,,@jessphoenix2018 @ThatMichaelM This stuff is why I support gun rights and gun ownership. To stand up to oppressive governments.
198,,"Illinois, USA",@jasnotron @DLoesch @NRA Did I forget to mention that link came from a GUNS &amp; AMMO site NOT a gun rights site?
199,,"Illinois, USA",@AAugustine22 @DLoesch @NRA Did I forget to mention that link came from a GUNS &amp; AMMO site NOT a gun rights site?
200,,,@JohnJamesMI if ur worried about MI gun rights maybe you should run for state senate #MISEN #Dummy
201,,"Toronto, Ontario","@moslef @nytimes Enjoy being ""pro life"" you next time you gun down a crowd using your 2A rights. What a fucked up country you live in!"
202,,,"@ChrisLoesch @DLoesch Dana ought to start a group called ""Mom's Demand Gun Rights"""
203,,"Las Vegas, NV",Lady came up to the wrong one today asking me to sign a petition for gun rights.. HAH!!! Over my dead body
204,,"Santa Ana, CA",@LagunaBeachPD Do we get a gun and the change to violate people’s rights also?
205,,,@GovMalloyOffice While denying the rights of lawful gun owners without a due process hearing!
206,,nlv,"“ that’s okay, im the type of person that if they take away my gun rights I’ll still have a gun” YIKES"
207,,USA,@JacobyChrisrt @FoxNews @Colts @realDonaldTrump Gun owner rights should not outweigh the rights of the shooting victims
208,,"Ohio, USA",@JonHusted @BuckeyeFirearms @MikeDeWine More gun rights fewer women’s rights 💪#DeWineHusted #magadudes #yeahbro
209,,"Philadelphia, PA",@LouKnighten @CoryBooker after having a gun pointed in my face before... you can go cry about your 2nd amendment rights somewhere else
210,,"Texas, USA","@RubyRockstar333 @gaye_gallops and if you're running on gun control or taking away the bill of rights, then run in a zig zag pattern"
211,,"California, USA",@rights_state Reagan passed gun control as gov and signed the first abortion law into power.
212,,"Michigan, USA",@realDonaldTrump @Colts It is so disgraceful that gun rights are so important to you.
213,,The DL ,@cstetson @ShafPatel @realDonaldTrump Cause he's a gun rights advocate the statistics are inaccurate?
214,,305 ➡️954➡️561,@TristanMcClone But when there’s a shooting y’all start talking about gun rights.
215,,United States,@KateBrownForOR Here goes Kate clown. Trying to take gun rights from weed smokers.
216,,,@davidjtrone Do they get their gun rights back too?
217,,Cali,@MaryMar27835724 @NRATV @DLoesch @FBI Again what does the media's opinion of trump have to do with gun rights?
218,,"Funtown, Colorado",@ColoradoSparky @CRobertBuchanan @hickforco Somehow that'll get twisted into restriction of gun rights.
219,,"Colorado, USA",@propatriots @kylegriffin1 Why?  Personally I prefer that every country have gun rights for their citizens.
220,,,I'm not into Gun Control rights..but I'm all for tax increases! hahahhaha i'm mean...pay up people
221,,Trapistan NY,@NewAgeApollo When and where? The liberals are also nuts on banning gun rights and conservatives are stopping drug flow. It's annoying
222,,"Hawaii, USA","🗣 Dear Pro gun rights organizations. If you were silent during the #PhilandoCastile case, please keep your stickers. I just got a car wash."
223,,United States,@MurtadMilli As long as their get their gun rights and voting rights back.
224,,"Slammintonio, TX","@FormerGOP_voter @akluvitlivit @Marlborolts5150 @Barbara4u2 Bingo!

Our argument exactly when it comes to gun rights."
225,,"Furubira, Hokkaidō",@TradHoosier Yes that is your constitutional right. Do not let the gun control people take away your rights.
226,,"maybe in Gonzales, LA","Intel Core i5-6600K, MSI GeForce GTX 980 Ti, safer gun rights."
227,,USA ,@johnrobertsFox please ask about the assault on Massachusetts gun owners and why there rights are being violated and if the @potus step in
228,,,"@incred_aspie @ZTEdwards If Zack wants, he could talk about gun rights on my channel.  I'd love to hear about it."
229,,ODU,HOW IN TF DO U PETION TO GET UR GUN RIGHTS BACK
230,,,"@jordankstein @GregPruett2AA It's my fellow Americans that protect my gun rights...

I'm an American and I'm freedoms safest place."
231,,,@SuburbanBit @realDonaldTrump @Colts Do gun rights include indiscriminate killings?
232,,South Lyon MI,@OliverMcGee I'll go with the owner's property rights any day over some cop who wants to parade his badge and gun around in public.
233,,,@captionreportin @realDonaldTrump @Colts Everyone does that. Sandy hook was politicized into taking gun rights away
234,,,@realDonaldTrump @Colts How about the other 35000 killed by the good old Americans with gun rights?  Shall we get them out too!!!
235,,"Brigantine, NJ",@NRA So... state's rights are important except when it comes to CCR... @MomsDemand an end to gun violence.
236,,The Moon,@stillgray The sobering modern reality is that rights are taken away not with a gun but with a smile and the promise of utopia.
237,,Center of Excellence,@WoleOdeleye @Oddy4real would be fun if we had gun rights in this country like they do in the US. Would be useful in Lagos. LOL
238,,,@anoncontent @tntdrama hi fellow anons what if Hillary is president and we no longer have gun rights :(
239,,,"Double sperm bank sperm, prior to a massive epic car chase, gun fight, with legal will stating sperm possession rights to third party."
240,,Mountains of Western Virginia,@cToddGilbert thank you for standing up for gun rights &amp; voting against Del. Marcus B. Simon’s stupid anti-gun bill.
241,,Kansas,I wonder how the right's attitudes would change if football players knelt in support of gun rights
242,,,
243,,"St Cloud, MN",gun rights*
244,,New York,"@rodneycarreiro @SallyAlbright Funny, the pro gun rights advocates say the same thing about the anti gun advocates."
245,,"Prescott, AZ","@jimearl666 @NRA You are actively participating in the suppression of civil rights.

Hitler would be proud of you."
246,,Denmark,"@ADobsonComics by gun rights i assume you mean ""the right to own a gun"" so im gonna vote children"
247,,"Dayton, OH.",@KT_So_It_Goes I like the part where this is totally about gun rights.
248,,"Dayton, OH.",@AtticusGF This has a lot to do with gun rights.
249,,"Denver, CO","it’s cute when people try to call conservatives nazis. Like, no. Nazi Germany took away gun rights and implemented socialized healthcare"
250,,"Miami, Fla. • Mérida, Yucatán",@AlexNowrasteh LOL. Haven’t you claimed to be big on gun rights?
251,,,@AdamPiersen @kelliwardaz I'm confused. I thought the GOP was all for states' rights? I guess nothing trumps the sacred gun.
252,,,"@ZacGoldsmith @stillgray WTF?

Too bad you guys voted away your gun rights for personal defense.

I truly feel for this person."
253,,,@kolyapetrov1983 @SenSanders You realize that NAZIs were violent proabortion socialists against gun rights?
254,,,"@chuckwoolery That is the Liberals' stance on gun rights, in a nutshell."
255,,,@GrnEyedMandy Two things solidified Trump to GOP. Gun rights and abortion. They are the bedrock issues to his fans.
256,,,@RealJamesWoods Every crime committed with a gun must be laid at the doorstep of gun rights advocates and the NRA
257,,"Seattle, WA",.@AustinJenkinsN3 Restricting access on gun rights is a very tough sell in Olympia. #KUOWrecord
258,,The Sun.,Something thats so resourceful should not influence gun rights.
259,,,Just commented on a Facebook news article about gun rights and now I’m posting on Twitter. Who am I right now?
260,,Northwest Arkansas,"@dogthecat3 But I'm also outraged against those who seek to curtail rights--gun control advocates, for example."
261,,"maybe in Gonzales, LA","I'm trying to imagine how hard it is better, safer gun rights."
262,,"Puget Sound, WA","@GunRightsNW Thanks for the follow! Looking forward to your tweets on NW gun rights.

Keep fighting the good fight!"
263,,"New Castle, IN",@Three1VII @indystar You mean like if we get rid of gun rights that will stop killing with guns?  Is that the point you are trying to make?
264,,"Phoenix, AZ","@kotuzak @EricHolder Sounds exciting!!! International gun running, suppressing civl rights, cover ups...."
265,,jam dallas sarah rosh,@lesbiangerwig We were robbed and denied our rights at gun point
266,,USA,@TheKyGuy @wizproductions1 @Sinatra_Says @TheCommonNephil @officialmcafee He also changed his stance on Gun Rights/2nd Amendment as well!
267,,,"@Fidelity_Secure i fail to see how my business can continue to support you, when fidelity don't support my gun rights"
268,,"Soon to be Texas, USA",@NRA As a gun owner and NRA member I fully support all the actions they take to protect our second amendment rights.
269,,Germany,@ClassicCommie DAE anyone opposing gun rights is a fucking commie? I'm a smart american political commentator btw
270,,"SatansButthole, USA",@SheriffClarke oh oh don't forget the yearly erosion of gun rights!
271,,Cedar Rapids Iowa,Gun rights should be untouchable short of legitimate mental illness to ward off the threat of DOMESTIC and FOREIGN enemies
272,,"maybe in Gonzales, LA","Oooooohhhhh that was enough to call it is better, safer gun rights."
273,,"Tinton Falls, NJ",I’m a Gun Rights Activist #2A
274,,Republic of the Philippines,@Salon Never. The @NRA supoort responsible gun ownership and safety along with constitutional rights.
275,,"Dayton, OH",@slsmitty_ @memestermemeste But you implied that men owning guns was the problem so you implied taking their gun rights was the solution
276,,"Herndon, VA","@clare_mckinney @antonia_okafor @saintmarys Go Clare! We love campus lectures, especially on promoting gun rights 💪🏼🗽"
277,,"Royse City, TX and the heads of idiot progressives","@teacher_mama3 @Sporty1546 Actually, yes. it is about the gun owner's rights.

You have the right to not own a gun if you don't want to."
278,,Northwest Arkansas,"@LucyKaos @SAHinchcliffe @WelcomeToDiowa Being in favor of rights doesn't make a person a bigot, and gun control doesn't reduce violence."
279,,Indiana.....,@DNAFounder @PrestwickMorgan Teachers should still have the rights to use guns....   I am all about taking away gun free zones.....
